#{"t_start": 1676040982.15033, "env_id": "InvManagement-v1"}
r,l,t
-256.540054,30,0.025861
-267.726229,30,0.040277
-269.79805,30,0.055504
-274.136177,30,0.070155
-271.987433,30,0.083569
-275.513906,30,0.096154
-267.764809,30,0.108426
-275.542619,30,0.124124
-279.49829,30,0.13675
-276.398906,30,0.14894
-273.499932,30,0.189329
-273.235098,30,0.20167
-264.856422,30,0.213761
-284.107845,30,0.229395
-267.484154,30,0.24237
-274.603535,30,0.256324
-289.639893,30,0.268736
-270.653034,30,0.281321
-278.013384,30,0.293685
-278.499537,30,0.305998
-274.320396,30,0.349805
-277.03243,30,0.361981
-285.282514,30,0.37441
-281.680608,30,0.386618
-293.264342,30,0.398826
-280.189672,30,0.411585
-293.897292,30,0.425003
-293.959942,30,0.441561
-275.687397,30,0.453945
-277.83095,30,0.466735
-272.436969,30,0.506988
-286.538968,30,0.519227
-277.221058,30,0.534447
-274.022652,30,0.546873
-269.515173,30,0.560246
-272.219961,30,0.579297
-271.181327,30,0.597444
-269.074478,30,0.614488
-278.748633,30,0.631113
-274.488964,30,0.651723
-265.983028,30,0.694447
-267.47606,30,0.707387
-276.584975,30,0.719981
-269.957202,30,0.732411
-267.421499,30,0.747838
-272.516513,30,0.762062
-276.084474,30,0.774621
-284.813739,30,0.787022
-277.90629,30,0.799393
-274.238229,30,0.811801
-265.276009,30,0.853893
-276.2978,30,0.867189
-268.773147,30,0.879706
-269.158805,30,0.892444
-269.577221,30,0.904966
-264.052098,30,0.91855
-260.448429,30,0.932049
-272.109304,30,0.944873
-265.421031,30,0.961022
-246.057912,30,0.973531
-263.198384,30,1.01036
-270.399904,30,1.022851
-275.151507,30,1.037425
-266.635655,30,1.055298
-272.533243,30,1.069629
-252.793854,30,1.082218
-254.45374,30,1.094722
-267.967285,30,1.107019
-273.734576,30,1.119648
-239.561643,30,1.131952
-252.948977,30,1.173575
-254.801984,30,1.1863
-260.435655,30,1.19876
-247.075786,30,1.211919
-272.036836,30,1.224866
-255.776897,30,1.237168
-276.860862,30,1.249606
-251.193068,30,1.261713
-242.228616,30,1.277663
-248.839393,30,1.289995
-239.809463,30,1.327578
-244.706191,30,1.340183
-233.876068,30,1.352665
-255.609321,30,1.364999
-224.233758,30,1.381299
-252.639824,30,1.393591
-268.500054,30,1.405677
-248.21865,30,1.417964
-244.216424,30,1.430158
-270.064109,30,1.442427
-253.805696,30,1.491929
-251.257142,30,1.504218
-256.565983,30,1.516599
-267.699536,30,1.529201
-267.78717,30,1.541692
-277.554984,30,1.554058
-269.818074,30,1.566309
-259.77221,30,1.57945
-242.913233,30,1.596319
-262.790071,30,1.608924
-269.040273,30,1.646394
-247.556572,30,1.659386
-256.592302,30,1.671689
-246.458853,30,1.683836
