#{"t_start": 1676038651.904825, "env_id": "InvManagement-v1"}
r,l,t
-101.512041,30,0.061024
92.061458,30,0.067605
88.657474,30,0.074379
-31.041322,30,0.279608
-126.949842,30,0.510847
-47.248286,30,0.821827
140.991268,30,1.163748
103.6874,30,1.408208
92.588486,30,1.635872
98.957076,30,1.861185
-60.133512,30,2.126834
-98.205244,30,2.351701
0.262896,30,2.573727
-40.187788,30,2.797453
-120.11248,30,3.054299
10.278771,30,3.277693
38.304616,30,3.500385
32.625959,30,3.723123
-122.85757,30,3.949412
85.364715,30,4.172788
-31.449883,30,4.432996
-29.116051,30,4.656535
-36.565974,30,4.881192
96.37095,30,5.103848
-105.675254,30,5.359727
83.050678,30,5.587563
26.731496,30,5.809768
-14.278163,30,6.031197
96.592798,30,6.261257
107.509075,30,6.485054
102.904765,30,6.744155
51.887587,30,6.965384
-169.980352,30,7.191497
-70.150358,30,7.415323
52.690949,30,7.693017
155.602135,30,7.916517
-18.172199,30,8.146404
117.321038,30,8.370387
160.485894,30,8.592178
155.04204,30,8.814074
217.631521,30,9.071294
-20.394345,30,9.329842
245.240437,30,9.578035
94.586243,30,9.851758
66.603191,30,10.092353
-63.30063,30,10.313934
-90.088566,30,10.538493
83.37151,30,10.781217
114.909138,30,11.034366
67.297575,30,11.295803
95.177521,30,11.589237
59.492547,30,11.899516
117.709144,30,12.165559
223.330085,30,12.396091
224.986882,30,12.625012
202.600182,30,12.865748
95.157141,30,13.122864
205.398619,30,13.360803
194.898818,30,13.605626
304.480425,30,13.884467
160.810706,30,14.167637
273.121656,30,14.395384
60.910428,30,14.630018
140.146124,30,14.868869
323.563376,30,15.108493
182.087299,30,15.363181
234.573327,30,15.628582
187.013521,30,15.922071
144.789411,30,16.253366
209.086155,30,16.512105
196.783893,30,16.806716
40.507049,30,17.059021
212.871919,30,17.300346
3.765559,30,17.52001
141.641318,30,17.74053
76.949252,30,17.958859
67.374349,30,18.222705
160.011764,30,18.45333
210.525532,30,18.688908
131.669259,30,18.946014
177.669172,30,19.251304
68.920095,30,19.512563
157.498137,30,19.759757
263.834753,30,20.038648
135.020335,30,20.28825
245.247494,30,20.520013
193.928141,30,20.769636
213.226036,30,20.992508
8.974737,30,21.22989
173.895379,30,21.479968
171.039498,30,21.777552
201.368055,30,22.062832
183.030121,30,22.288444
149.728768,30,22.511495
264.371219,30,22.735104
220.621552,30,22.958854
196.183317,30,23.247436
186.404173,30,23.555721
208.5389,30,23.812315
143.498697,30,24.084985
-82.766747,30,24.368871
-45.318276,30,24.613168
4.905243,30,24.861314
140.197565,30,25.107494
157.990097,30,25.434952
274.684077,30,25.664973
-76.856251,30,25.917548
74.158673,30,26.146295
110.495115,30,26.420903
125.458263,30,26.691143
-75.373222,30,27.000776
-4.96426,30,27.22169
68.287686,30,27.437585
86.038554,30,27.664817
10.262295,30,27.912028
34.881063,30,28.140235
-0.521607,30,28.358727
174.159864,30,28.579966
-192.017351,30,28.826963
133.690472,30,29.046083
39.024592,30,29.360007
54.470681,30,29.591846
109.580493,30,29.834893
-116.515826,30,30.084252
-52.083163,30,30.331139
102.140846,30,30.602213
20.344338,30,30.834733
151.80861,30,31.053976
-94.660784,30,31.270408
-10.507774,30,31.517504
-2.193166,30,31.794526
232.369658,30,32.048443
46.250229,30,32.294589
109.462524,30,32.571691
75.997406,30,32.804064
-32.222589,30,33.027872
75.387468,30,33.245105
14.591996,30,33.463477
-141.7019,30,33.683305
