#{"t_start": 1676042490.588887, "env_id": "InvManagement-v1"}
r,l,t
-101.512041,30,0.106414
92.061458,30,0.111821
88.657474,30,0.117385
-30.269751,30,0.426943
-117.331304,30,0.859593
72.010496,30,1.37255
152.667179,30,1.819935
-39.95563,30,2.310831
-64.999049,30,2.785017
13.205454,30,3.184353
14.081957,30,3.729774
98.812333,30,4.16533
-24.426717,30,4.618169
-39.203854,30,5.152106
-51.221916,30,5.547692
104.517501,30,5.949992
-79.638294,30,6.421563
179.358248,30,6.863441
-45.3845,30,7.384274
103.181446,30,7.97953
50.225601,30,8.626061
14.587339,30,9.052803
137.161654,30,9.547006
-27.756972,30,10.011782
-165.809657,30,10.438636
99.258404,30,10.917724
85.410366,30,11.327102
43.16573,30,11.756004
272.993499,30,12.261704
130.814353,30,12.745192
8.167673,30,13.365373
2.441043,30,13.848164
205.837051,30,14.37086
133.419961,30,14.804621
164.855349,30,15.322659
98.737942,30,15.825219
160.573597,30,16.234469
244.219339,30,16.784883
228.900074,30,17.277989
214.545971,30,17.825002
242.8466,30,18.286826
321.092472,30,18.820508
246.370092,30,19.365234
156.374536,30,19.846259
256.42817,30,20.378321
190.28025,30,20.883314
280.483444,30,21.426116
248.208596,30,21.917829
226.662775,30,22.444233
213.349073,30,22.910889
219.139636,30,23.509065
173.822329,30,23.931634
124.385342,30,24.344059
309.274223,30,24.838775
237.358435,30,25.247947
251.158702,30,25.681239
243.738165,30,26.109696
278.794333,30,26.516133
239.00332,30,26.959871
301.146232,30,27.360352
212.282666,30,27.805666
191.288918,30,28.269932
219.112061,30,28.672159
231.828445,30,29.076108
295.254292,30,29.535261
259.764964,30,29.936324
191.21489,30,30.331427
293.336815,30,30.729119
134.527962,30,31.1202
245.433104,30,31.536161
219.150357,30,31.961158
140.490209,30,32.351234
173.5169,30,32.742846
-0.091581,30,33.139156
103.023915,30,33.530015
95.319139,30,33.979755
229.438383,30,34.376967
228.405814,30,34.830589
140.875656,30,35.335582
106.247457,30,35.752012
-49.526834,30,36.242025
-32.576457,30,36.709918
175.052843,30,37.122549
208.177759,30,37.507569
-110.43981,30,37.906395
-69.08722,30,38.412664
19.955111,30,38.839986
127.030011,30,39.253012
-482.673531,30,39.71167
-217.082104,30,40.113699
-61.649854,30,40.536372
-338.598463,30,40.973235
-247.870515,30,41.36632
56.954729,30,41.766999
-487.993817,30,42.16408
-401.970659,30,42.561263
-290.180181,30,43.000228
-329.728213,30,43.383893
-64.206384,30,43.7681
-384.252497,30,44.165202
-617.873617,30,44.586136
-302.850996,30,44.975146
-495.28413,30,45.428563
-445.606198,30,45.842863
-171.825236,30,46.237222
-498.702291,30,46.622749
-638.223033,30,47.012944
-615.738012,30,47.442972
-554.407042,30,47.851427
-560.50265,30,48.248761
-666.520174,30,48.695049
-642.336276,30,49.095347
-718.522913,30,49.530275
-516.613868,30,49.931444
-563.398752,30,50.318217
-902.017903,30,50.730763
-649.024439,30,51.183786
-707.763669,30,51.600288
-796.076174,30,52.058081
-628.774223,30,52.467226
-739.66498,30,52.902165
-594.047045,30,53.339207
-783.705964,30,53.750339
-777.418593,30,54.171499
-879.518869,30,54.632182
-794.545249,30,55.034639
-752.6827,30,55.4363
-843.247081,30,55.87937
-825.837827,30,56.282532
-913.05673,30,56.735832
-864.6698,30,57.175071
-649.687401,30,57.652349
-839.793063,30,58.101285
-852.480875,30,58.510406
-936.729041,30,58.93042
-952.188629,30,59.393697
-875.855747,30,59.802039
-887.198939,30,60.197602
-985.544845,30,60.655953
-908.216978,30,61.052576
-922.473939,30,61.503363
-882.206815,30,61.949551
-903.923322,30,62.345648
-946.826677,30,62.745089
-1099.826522,30,63.185506
-1061.069564,30,63.583714
-819.353286,30,63.995641
-904.30494,30,64.446949
-1018.408924,30,64.84942
-870.617345,30,65.241861
-989.643663,30,65.720731
-1064.474936,30,66.114978
-1020.587715,30,66.559444
-881.832987,30,66.967201
-794.592861,30,67.365546
-952.975367,30,67.808752
-920.853551,30,68.216269
-1024.538106,30,68.617799
-912.216328,30,69.082593
-1020.026367,30,69.487354
-911.333561,30,69.918461
-899.86153,30,70.372582
-1076.657525,30,70.775016
-947.118955,30,71.188972
-1161.647559,30,71.640905
-967.926028,30,72.039379
-1176.78474,30,72.433544
-979.267635,30,72.889921
-1008.020078,30,73.289005
-1019.35244,30,73.698481
-938.502779,30,74.17525
-1052.438324,30,74.574999
-989.56698,30,75.019952
-1167.439763,30,75.421468
-985.555701,30,75.823096
-957.286293,30,76.288183
-1130.872592,30,76.694602
-967.263653,30,77.094438
-1194.203357,30,77.53925
-1164.167852,30,77.936583
-1077.281159,30,78.365864
-1227.667392,30,78.815867
-972.127574,30,79.227689
-1102.281411,30,79.6268
-1126.71003,30,80.076555
-1182.827016,30,80.479174
-946.37377,30,80.912631
-946.076921,30,81.338807
-1023.523646,30,81.740603
-1075.246603,30,82.202531
-1155.279243,30,82.684951
-1278.946157,30,83.113948
-1021.311022,30,83.601318
-1222.363223,30,84.048996
-1127.79198,30,84.454534
-1048.290105,30,84.965228
-1237.546815,30,85.475915
-1098.623492,30,86.032383
-1130.047924,30,86.452867
-1213.12088,30,86.885275
-1151.744569,30,87.442445
-1105.847346,30,87.983921
-1163.51689,30,88.453202
-1166.63404,30,88.858566
-1092.528333,30,89.264583
-1093.094477,30,89.72784
-1127.800336,30,90.158456
-1075.21877,30,90.569278
-1044.664715,30,91.056477
-1242.889816,30,91.497077
-1153.379433,30,91.975564
-1188.635179,30,92.374243
-1211.910176,30,92.889856
-1208.091027,30,93.426045
-1159.597256,30,93.949017
-1062.664076,30,94.424958
-1379.72358,30,94.838882
-1227.653934,30,95.242428
-1112.429934,30,95.712597
-1128.661362,30,96.194083
-999.459142,30,96.629483
-1204.996555,30,97.075551
-1214.304051,30,97.503835
-1049.532798,30,97.912935
-1134.18599,30,98.363123
-1198.057171,30,98.781715
-911.264095,30,99.188379
-1026.529484,30,99.655443
-1248.284416,30,100.086251
-1184.273349,30,100.485837
-1196.237801,30,100.965567
-1198.510607,30,101.384693
-1215.685039,30,101.789737
-1170.788082,30,102.225021
-1034.450549,30,102.620111
-1131.583842,30,103.019568
-1138.397781,30,103.479509
-1123.760166,30,103.883406
-1293.661868,30,104.289148
-1256.062855,30,104.736278
-1163.795687,30,105.173947
-1017.120876,30,105.598251
-1137.371576,30,106.03301
-1216.969801,30,106.423266
-1208.522498,30,106.819103
-1098.688541,30,107.205968
-1194.642847,30,107.692933
-1141.253928,30,108.097802
-1115.449134,30,108.517613
-1012.408717,30,108.973803
-1111.562672,30,109.42096
-1257.765822,30,109.923507
-1132.153213,30,110.334216
-1118.173448,30,110.743695
-1116.553795,30,111.182857
-1162.332414,30,111.57854
-1029.619541,30,111.975677
-1097.584898,30,112.415819
-1169.333971,30,112.833932
-1234.797239,30,113.254177
-1312.147919,30,113.740172
-1107.772224,30,114.140751
-1039.631838,30,114.545216
-1233.535726,30,115.010178
-1210.404466,30,115.424193
-1188.45977,30,115.875161
-985.996188,30,116.267381
-1217.18276,30,116.664878
-1094.910961,30,117.114378
-1204.035562,30,117.512363
-1126.240777,30,117.941737
-1222.126849,30,118.442772
-1105.701795,30,118.841605
-1173.885818,30,119.258665
-1104.683777,30,119.717484
-1279.985627,30,120.128199
-1292.714155,30,120.531967
-1121.723475,30,120.997888
-1238.794878,30,121.401262
-1280.515028,30,121.80434
-986.636936,30,122.283635
-990.258522,30,122.688249
-1191.879671,30,123.092361
-1103.05585,30,123.560215
-1117.880653,30,123.958878
-1039.148689,30,124.357211
-1205.967896,30,124.823404
-1038.211773,30,125.224893
-1255.978379,30,125.683591
-1036.360636,30,126.093207
-1092.193307,30,126.520152
-1059.57903,30,126.915527
-1108.018413,30,127.328401
-1201.902112,30,127.763926
-1207.850819,30,128.151585
-1111.994365,30,128.543136
-1181.911491,30,128.945118
-999.441749,30,129.339515
-1142.928069,30,129.792061
-1158.190719,30,130.23521
-1013.779885,30,130.666303
-1048.377516,30,131.062889
-1155.136599,30,131.461231
-1105.468437,30,131.857749
-1083.020595,30,132.297906
-940.474776,30,132.688004
-973.721045,30,133.088368
-1007.174593,30,133.481098
-1125.329605,30,133.880643
-1150.363373,30,134.336018
-1221.555558,30,134.766691
-965.155292,30,135.163786
-1075.86027,30,135.56112
-1209.225348,30,135.952833
-990.289981,30,136.346478
-967.173441,30,136.78083
-978.99287,30,137.169414
-1099.29515,30,137.559142
-1236.839813,30,137.948019
-1262.172542,30,138.329473
-1147.020723,30,138.829733
-1126.81687,30,139.232582
-1146.581283,30,139.64345
-944.953477,30,140.094091
-1060.463831,30,140.485414
-1188.664328,30,140.879107
-1005.087494,30,141.309503
-992.705895,30,141.698945
-1333.992495,30,142.085817
-1021.067228,30,142.475456
-1029.034548,30,142.899236
-967.432246,30,143.355276
-1276.219346,30,143.747551
-1176.337473,30,144.135167
-957.363301,30,144.520572
-1249.464034,30,144.9075
-988.142997,30,145.29892
-1059.151791,30,145.737871
-940.288426,30,146.124482
-984.428409,30,146.5111
-1170.948427,30,146.960274
-1104.488645,30,147.434799
-1057.906899,30,147.843884
-905.719765,30,148.298435
-1067.769128,30,148.706485
-1063.40504,30,149.109253
-994.444194,30,149.563021
-967.745788,30,149.983634
-1157.04217,30,150.384959
-1019.903737,30,150.838461
-1168.583545,30,151.273621
-1200.490535,30,151.673088
-969.699499,30,152.11748
-1091.398604,30,152.537862
-1111.619806,30,152.992364
-1026.704765,30,153.467439
-1095.946202,30,153.875268
-1013.175873,30,154.346985
-1038.150612,30,154.755671
-1018.649484,30,155.165977
-1019.840564,30,155.653413
-1004.704836,30,156.052739
-1006.656852,30,156.522099
-1025.830284,30,156.944874
-1193.283539,30,157.419438
-1011.347621,30,157.880794
-896.826714,30,158.292937
-1058.650604,30,158.696452
-1161.475958,30,159.148376
-988.273702,30,159.541777
-1098.941029,30,160.034032
-998.044809,30,160.442088
-959.011137,30,160.860304
-963.86809,30,161.312944
-1010.762374,30,161.714409
-929.246269,30,162.109846
-943.262785,30,162.584035
-975.757825,30,163.004206
-1023.462821,30,163.420919
-1080.503,30,163.877036
-936.806175,30,164.333122
-975.752622,30,164.793967
-1211.120481,30,165.196288
-976.428927,30,165.603608
-1192.841864,30,166.04272
-866.060614,30,166.445751
-1169.82461,30,166.848323
-1045.384655,30,167.326379
-964.790961,30,167.730814
-979.392118,30,168.131334
-909.020326,30,168.612255
-968.82318,30,169.00963
-969.960097,30,169.430821
-1176.190849,30,169.874848
-1052.426239,30,170.271079
-1035.054633,30,170.711984
-976.257252,30,171.125566
-1022.38067,30,171.522525
-992.766358,30,171.93735
-970.747892,30,172.382694
-929.89841,30,172.818836
-1038.97975,30,173.215545
-1013.511849,30,173.655038
-1285.077966,30,174.056058
-1049.073188,30,174.491945
-1036.136062,30,174.90038
-872.638152,30,175.300467
-911.402663,30,175.750064
-954.798908,30,176.170349
-895.807562,30,176.569767
-1053.293256,30,177.045359
-1043.386072,30,177.447274
-859.813652,30,177.841913
-974.542161,30,178.300096
-928.554815,30,178.712571
-1125.345388,30,179.15715
-978.65346,30,179.561449
-1025.074487,30,179.955763
-1013.59281,30,180.411169
-962.771214,30,180.811714
-1078.974061,30,181.249636
-982.379076,30,181.692695
-978.278086,30,182.097321
-1043.419496,30,182.491262
-1169.155456,30,182.971209
-979.633031,30,183.381791
-887.936633,30,183.832962
-1037.142737,30,184.236942
-868.851979,30,184.63736
-1116.618571,30,185.077397
-1061.224877,30,185.512203
-1024.097398,30,185.906495
-1195.151321,30,186.346165
-1027.211145,30,186.753903
-1042.260259,30,187.164143
-1002.473539,30,187.614361
-1047.388924,30,188.018917
-956.884485,30,188.419338
-1064.712842,30,188.861623
-915.112892,30,189.261175
-1045.769074,30,189.689505
-1112.277381,30,190.137285
-1097.209854,30,190.534279
-1029.989188,30,190.93404
-1016.653344,30,191.387815
-1044.267235,30,191.790879
-954.578497,30,192.187544
-1022.167422,30,192.632082
-1192.399035,30,193.032322
-1040.207851,30,193.437242
-941.405158,30,193.93824
-961.069774,30,194.341438
-1241.754236,30,194.790005
-1063.106524,30,195.199906
-1082.477626,30,195.603276
-1085.007283,30,196.071592
-858.925539,30,196.468574
-1165.643147,30,196.869195
-1085.938562,30,197.314757
-953.956554,30,197.715624
-1073.714498,30,198.14807
-930.796166,30,198.628565
-915.260946,30,199.033488
-977.064061,30,199.438457
-892.991309,30,199.897351
-1018.365257,30,200.301376
-1035.011577,30,200.710948
-998.690016,30,201.159408
-932.693068,30,201.565402
-1033.864003,30,201.970647
-1034.042514,30,202.465869
-1087.059208,30,202.871231
-1155.888867,30,203.345564
-1065.357172,30,203.742371
-1074.290507,30,204.147135
-1140.132129,30,204.599023
-959.991039,30,204.994821
-893.454377,30,205.389558
-1130.032942,30,205.829
-999.799605,30,206.227767
-1015.132687,30,206.666883
-1040.265721,30,207.117645
-1023.778105,30,207.531403
-963.364916,30,207.930782
-973.162849,30,208.384564
-866.386467,30,208.80086
-1118.312453,30,209.19925
-1110.054868,30,209.619409
-1060.627556,30,210.05143
-1138.10198,30,210.454701
-1150.924928,30,210.945176
-1111.452737,30,211.344784
-945.860398,30,211.75099
-1074.303703,30,212.199664
-944.859066,30,212.604005
-1151.162569,30,213.000025
-997.373368,30,213.448039
-856.631904,30,213.861327
-882.926378,30,214.276776
-1011.875827,30,214.717758
-975.048497,30,215.149368
-1272.591562,30,215.546452
-958.821144,30,215.998596
-1061.530811,30,216.414602
-1244.758431,30,216.817937
-1009.413739,30,217.274892
-949.56429,30,217.691172
-970.393213,30,218.156422
-1088.81469,30,218.615437
-973.380465,30,219.044644
-954.855341,30,219.576075
-1024.225083,30,219.983084
-904.574325,30,220.467272
-1109.128586,30,220.880185
-948.264217,30,221.276654
-1045.478464,30,221.736429
-1185.09451,30,222.148831
-1175.671364,30,222.544747
-974.252584,30,222.938897
-1081.078968,30,223.330143
-1055.534809,30,223.823876
-957.207481,30,224.216839
-853.967115,30,224.600072
-988.660471,30,225.000014
-960.249419,30,225.402137
-888.825272,30,225.788462
-1026.93949,30,226.233909
-1169.16462,30,226.625322
-1169.772591,30,227.014139
-1009.880689,30,227.410242
-1001.932923,30,227.836825
-1003.248394,30,228.265057
-1086.730691,30,228.670898
-897.610012,30,229.089596
-1153.970549,30,229.492477
-1045.448969,30,229.893164
-1180.827495,30,230.311253
-1186.714237,30,230.825919
-1019.796785,30,231.246534
-1085.222316,30,231.636607
