#{"t_start": 1676048621.882092, "env_id": "InvManagement-v1"}
r,l,t
-248.724684,30,0.020991
-268.5892,30,0.027136
-255.520903,30,0.034064
-258.681423,30,0.040292
-265.952918,30,0.046691
-256.195515,30,0.05287
-249.985505,30,0.059591
-264.782782,30,0.066146
-274.195609,30,0.072369
-258.726606,30,0.078369
-258.562435,30,0.114609
-254.022691,30,0.121325
-264.828621,30,0.128232
-279.64749,30,0.134512
-266.507959,30,0.140948
-272.935127,30,0.146897
-266.495531,30,0.15278
-268.103667,30,0.159074
-249.070896,30,0.165203
-263.81161,30,0.171385
-263.045002,30,0.202579
-254.949676,30,0.208478
-257.177801,30,0.214487
-279.510403,30,0.22302
-267.252012,30,0.229188
-277.547545,30,0.23505
-270.18114,30,0.241389
-266.366285,30,0.247252
-272.804269,30,0.25304
-272.208359,30,0.259018
-263.487697,30,0.290214
-271.377438,30,0.29631
-265.886051,30,0.302329
-258.453846,30,0.30847
-270.507123,30,0.314453
-268.241593,30,0.320465
-267.757554,30,0.329001
-267.660911,30,0.335056
-257.30884,30,0.341285
-278.976739,30,0.347371
-276.457676,30,0.378341
-263.856699,30,0.384164
-266.319646,30,0.390188
-264.998328,30,0.396105
-256.444446,30,0.40197
-267.076159,30,0.408048
-259.973752,30,0.414042
-259.047698,30,0.419993
-278.575602,30,0.428614
-266.217882,30,0.434918
-267.876754,30,0.465865
-268.222682,30,0.471807
-275.488795,30,0.477689
-260.905446,30,0.483753
-257.301595,30,0.489936
-253.975773,30,0.49616
-270.963333,30,0.50205
-268.058725,30,0.50811
-273.173319,30,0.514149
-258.132218,30,0.520085
-263.612655,30,0.553832
-270.462541,30,0.559774
-262.732262,30,0.565757
-270.787853,30,0.571921
-270.571403,30,0.577932
-269.328564,30,0.583779
-270.777344,30,0.589605
-270.920048,30,0.595829
-248.041561,30,0.73301
-265.973627,30,0.739097
-265.673731,30,0.774934
-275.522302,30,0.78145
-268.100594,30,0.787841
-260.920903,30,0.794473
-277.451997,30,0.800979
-262.030611,30,0.807409
-254.563995,30,0.813485
-239.983286,30,0.819814
-270.70466,30,0.826141
-260.155281,30,0.832352
-264.734769,30,0.866525
-258.533057,30,0.87258
-267.044049,30,0.878572
-255.869108,30,0.884589
-275.030134,30,0.890601
-271.358872,30,0.896595
-261.633372,30,0.90259
-270.411343,30,0.908565
-267.254144,30,0.915034
-280.411317,30,0.921104
-256.583313,30,0.954506
-252.177884,30,0.960508
-270.171734,30,0.966409
-252.153526,30,0.972592
-229.509911,30,0.978561
-270.225891,30,0.984516
-269.26336,30,0.990558
-260.50343,30,0.996878
-272.423581,30,1.002926
-257.157029,30,1.00903
-259.162835,30,1.040792
-264.840339,30,1.046799
-272.006134,30,1.055259
-255.513795,30,1.061666
-269.213743,30,1.067541
-269.989947,30,1.073387
-257.145379,30,1.079439
-254.211402,30,1.085351
-266.529503,30,1.091467
-266.430657,30,1.097466
-260.777001,30,1.12756
-263.189329,30,1.133606
-269.098773,30,1.13953
-260.976532,30,1.145597
-258.913216,30,1.151425
-264.784987,30,1.157245
-246.155902,30,1.166371
-252.15246,30,1.172381
-260.380918,30,1.178301
-258.054322,30,1.184227
-262.273062,30,1.215302
-258.132667,30,1.221739
-252.950051,30,1.227935
-260.251575,30,1.234034
-247.755613,30,1.2404
-266.705624,30,1.246507
-263.920949,30,1.252361
-260.176029,30,1.258698
-270.040947,30,1.267374
-274.202659,30,1.273501
-252.559906,30,1.304499
-267.47342,30,1.31078
-260.039057,30,1.316888
-253.641498,30,1.323006
-270.566961,30,1.329036
-260.902406,30,1.335024
-246.710549,30,1.485589
-256.124482,30,1.491838
-251.09541,30,1.497971
-261.607072,30,1.503898
-253.420498,30,1.534809
-251.566641,30,1.540951
-264.214149,30,1.546982
-258.088807,30,1.552955
-271.644701,30,1.559024
-267.806703,30,1.564993
-236.96759,30,1.57111
-288.420906,30,1.579361
-256.851438,30,1.585546
-255.403438,30,1.591654
-263.469443,30,1.623016
-250.663092,30,1.628956
-265.144378,30,1.63501
-252.567885,30,1.640946
-254.511396,30,1.647082
-258.40726,30,1.65302
-259.011904,30,1.659003
-237.385018,30,1.665031
-257.417811,30,1.671163
-256.953336,30,1.677271
-252.046043,30,1.711522
-264.438164,30,1.717925
-262.066679,30,1.723897
-268.154732,30,1.729844
-250.274118,30,1.735778
-273.884999,30,1.741797
-269.808336,30,1.747892
-252.008985,30,1.75409
-270.736846,30,1.760169
-256.789185,30,1.766174
-257.313492,30,1.800101
-263.225661,30,1.806294
-252.784812,30,1.812288
-259.778932,30,1.818583
-261.202131,30,1.824623
-254.764944,30,1.830718
-247.963246,30,1.836734
-260.763322,30,1.84271
-253.135614,30,1.848928
-246.55468,30,1.854966
-251.191268,30,1.885644
-271.806975,30,1.894664
-265.048706,30,1.900911
-275.303103,30,1.906831
-262.021714,30,1.912715
-256.888456,30,1.918604
-255.890753,30,1.924488
-256.215692,30,1.930361
-256.46812,30,1.936255
-263.721072,30,1.94214
-261.912036,30,1.973516
-254.677165,30,1.979443
-259.587992,30,1.985292
-258.223544,30,1.991112
-268.482103,30,1.999561
-281.845588,30,2.005851
-265.659769,30,2.012015
-257.773059,30,2.018029
-250.655325,30,2.023942
-264.528858,30,2.029766
-258.366674,30,2.060118
-256.996576,30,2.066051
-251.351676,30,2.072541
-260.735549,30,2.078813
-271.660323,30,2.22769
-265.934132,30,2.233749
-252.509427,30,2.239974
-257.327263,30,2.24608
-252.322304,30,2.252187
-262.639927,30,2.258502
-268.932837,30,2.290088
-254.924669,30,2.296049
-270.510028,30,2.301995
-251.091407,30,2.310515
-265.387227,30,2.316839
-250.450007,30,2.323291
-269.539124,30,2.329724
-260.452956,30,2.336412
-265.04186,30,2.343092
-247.531851,30,2.349785
-257.605187,30,2.382993
-250.301964,30,2.389339
-250.518683,30,2.395435
-263.551395,30,2.401464
-264.504099,30,2.40766
-250.6218,30,2.416967
-265.037266,30,2.423025
-271.100505,30,2.428964
-256.428573,30,2.434905
-250.565155,30,2.440919
-262.769882,30,2.472615
-262.8156,30,2.478677
-248.829526,30,2.484643
-275.65603,30,2.490585
-248.561318,30,2.496673
-270.833819,30,2.502578
-265.636986,30,2.508554
-252.130897,30,2.514641
-273.871072,30,2.52385
-269.230541,30,2.529964
-258.297654,30,2.560132
-253.936865,30,2.566035
-266.723986,30,2.571945
-262.121043,30,2.577844
-256.491069,30,2.583745
-254.91564,30,2.590148
-254.652607,30,2.596101
-257.771973,30,2.601931
-261.754694,30,2.608074
-260.158294,30,2.614063
-260.147026,30,2.650373
-255.760132,30,2.656704
-250.228503,30,2.662779
-269.374627,30,2.668781
-242.412791,30,2.674856
-261.849409,30,2.680954
-276.435408,30,2.686922
-259.90615,30,2.692892
-259.626271,30,2.69884
-267.956904,30,2.704782
-249.177563,30,2.738095
-254.932636,30,2.743988
-254.589628,30,2.750185
-246.540397,30,2.756345
-263.210589,30,2.762341
-251.925518,30,2.768166
-251.344676,30,2.774003
-264.119412,30,2.780003
-252.345534,30,2.786029
-252.103562,30,2.791947
-259.292804,30,2.822734
-255.406949,30,2.828613
-262.575,30,2.837182
-259.552516,30,2.984498
-267.24917,30,2.990683
-251.015776,30,2.996959
-277.41257,30,3.003022
-264.588138,30,3.00896
-255.977994,30,3.015046
-252.768154,30,3.021051
-263.790511,30,3.054594
-251.184882,30,3.060578
-250.043173,30,3.066545
-262.159473,30,3.072707
-251.873614,30,3.078659
-261.289452,30,3.084645
-268.2349,30,3.090719
-270.422102,30,3.096728
-272.007593,30,3.102614
-271.357312,30,3.108691
-263.639393,30,3.139419
-265.660973,30,3.147611
-268.75415,30,3.154
-256.792091,30,3.160005
-240.665913,30,3.166062
-274.952285,30,3.172144
-247.433049,30,3.178001
-253.873383,30,3.183802
-268.757936,30,3.189634
-266.845717,30,3.195414
-256.250831,30,3.225818
-238.274721,30,3.231782
-267.48843,30,3.237754
-277.880506,30,3.243729
-256.19424,30,3.249739
-279.577217,30,3.258815
-254.175903,30,3.264936
-250.864494,30,3.270867
-259.501367,30,3.276851
-255.453899,30,3.282828
-253.055044,30,3.314299
-259.373067,30,3.320262
-262.59591,30,3.32617
-256.768838,30,3.332102
-251.956929,30,3.338052
-265.40455,30,3.34401
-269.656625,30,3.350214
-253.630081,30,3.356119
-264.131694,30,3.365194
-273.628359,30,3.371216
-273.706272,30,3.4022
-246.855932,30,3.408071
-253.037889,30,3.4139
-261.440675,30,3.419895
-277.696917,30,3.425856
-268.65727,30,3.431956
-248.553047,30,3.43799
-253.16292,30,3.444004
-246.734912,30,3.449846
-258.906802,30,3.455867
-252.195596,30,3.489552
-246.088428,30,3.495404
-256.97035,30,3.501219
-259.048644,30,3.507345
-252.956947,30,3.513269
-266.322561,30,3.519148
-247.036585,30,3.525107
-257.235757,30,3.531095
-246.577871,30,3.53715
-261.272789,30,3.543107
-244.017281,30,3.576567
-260.981494,30,3.726085
-246.829021,30,3.732152
-249.588346,30,3.738294
-252.767578,30,3.744219
-259.661403,30,3.750083
-245.530292,30,3.755981
-272.542016,30,3.761814
-242.378348,30,3.767604
-235.448008,30,3.773467
-272.500542,30,3.807105
-247.359365,30,3.813016
-247.478626,30,3.818917
-239.929843,30,3.825285
-235.670539,30,3.831197
-264.117474,30,3.837263
-254.121491,30,3.843264
-258.757615,30,3.849268
-258.468158,30,3.855185
-270.215547,30,3.861137
-259.302962,30,3.894891
-279.572812,30,3.900719
-252.263435,30,3.906791
-260.796605,30,3.912752
-265.039971,30,3.918563
-259.688627,30,3.924552
-266.373399,30,3.930488
-256.824465,30,3.936386
-255.983383,30,3.942348
-248.755153,30,3.948401
-257.848007,30,3.979557
-259.387617,30,3.985526
-266.326563,30,3.994195
-262.216716,30,4.000759
-227.58184,30,4.006893
-256.252134,30,4.012846
-261.538899,30,4.018776
-250.039381,30,4.024765
-251.196947,30,4.030585
-252.293713,30,4.036391
-246.871391,30,4.066992
-256.440752,30,4.073007
-262.221812,30,4.078939
-266.857472,30,4.084787
-256.38412,30,4.090644
-253.891566,30,4.098752
-243.740966,30,4.105138
-252.555169,30,4.11106
-267.214222,30,4.117328
-265.732324,30,4.123568
-250.652696,30,4.154577
-242.398571,30,4.160581
-268.815891,30,4.166582
-258.491699,30,4.172641
-247.652889,30,4.17848
-243.498765,30,4.184292
-260.388475,30,4.190394
-258.859162,30,4.196314
-258.598336,30,4.205345
-258.810496,30,4.211447
-260.515109,30,4.242218
-267.534724,30,4.24848
-261.490454,30,4.254439
-264.573327,30,4.260367
-254.422092,30,4.266262
-266.319216,30,4.27214
-244.734713,30,4.278018
-252.595166,30,4.28398
-246.931914,30,4.290174
-254.54221,30,4.443592
-247.23168,30,4.474926
-259.008619,30,4.480882
-254.54405,30,4.486795
-260.540276,30,4.49272
-261.545171,30,4.498659
-245.771857,30,4.504692
-256.106964,30,4.510487
-262.944327,30,4.516337
-245.581435,30,4.52479
-258.949408,30,4.530849
-257.001226,30,4.561779
-258.99745,30,4.567742
-255.349221,30,4.573767
-250.727686,30,4.579955
-249.076508,30,4.585978
-236.691303,30,4.591894
-261.379328,30,4.597971
-250.982711,30,4.603953
-257.781962,30,4.609947
-262.24158,30,4.615977
-248.192544,30,4.652252
-258.523862,30,4.658898
-243.163762,30,4.665671
-256.678575,30,4.672169
-238.552873,30,4.678765
-242.344109,30,4.685155
-246.9483,30,4.691781
-246.112672,30,4.698095
-254.909663,30,4.704677
-261.011603,30,4.710985
-258.760778,30,4.745525
-253.2852,30,4.75158
-250.738495,30,4.757635
-263.556325,30,4.763837
-254.219,30,4.769859
-263.485464,30,4.775726
-252.721788,30,4.781693
-255.827592,30,4.787829
-256.317486,30,4.793816
-252.49788,30,4.7999
-255.59735,30,4.831161
