#{"t_start": 1676161174.055614, "env_id": "NetworkManagement-v1"}
r,l,t
-336.939,30,0.193217
-336.919,30,0.380667
-342.622,30,0.595323
-325.966,30,0.780256
-343.735,30,0.967418
-337.723,30,1.155571
-342.499,30,1.342392
-337.978,30,1.527902
-339.846,30,1.720407
-333.563,30,1.911009
-331.97,30,3.039865
-348.8,30,3.227889
-310.484,30,3.411678
-345.726,30,3.614853
-323.351,30,3.801967
-326.058,30,3.986685
-335.77,30,4.172198
-320.885,30,4.359202
-340.817,30,4.542671
-329.446,30,4.728999
-315.893,30,5.857964
-327.046,30,6.045251
-332.318,30,6.228848
-345.358,30,6.42332
-324.2,30,6.624731
-314.352,30,6.813637
-309.034,30,6.998324
-336.238,30,7.184807
-328.321,30,7.371572
-340.61,30,7.556237
-347.977,30,8.68117
-330.303,30,8.8672
-341.754,30,9.056869
-330.255,30,9.24844
-325.019,30,9.436728
-332.497,30,9.638729
-342.824,30,9.826578
-325.259,30,10.010042
-329.084,30,10.196771
-313.502,30,10.3834
-336.733,30,11.515908
-311.064,30,11.708084
-338.272,30,11.895117
-343.297,30,12.079851
-332.965,30,12.267581
-328.05,30,12.453859
-314.295,30,12.637123
-345.535,30,12.834341
-336.622,30,13.021644
-339.725,30,13.206096
-340.276,30,14.347911
-335.562,30,14.541586
-316.808,30,14.732693
-348.392,30,14.926925
-314.965,30,15.111146
-346.466,30,15.298587
-332.68,30,15.484669
-347.851,30,15.667551
-347.354,30,15.861696
-340.337,30,16.054184
-324.116,30,17.174982
-330.973,30,17.359688
-341.737,30,17.559137
-326.533,30,17.744713
-329.344,30,17.931375
-329.111,30,18.117546
-315.148,30,18.301269
-349.435,30,18.487484
-342.785,30,19.099057
-330.47,30,19.283444
-342.096,30,20.43991
-325.44,30,20.658589
-346.26,30,20.849088
-333.777,30,21.036418
-337.154,30,21.222061
-323.292,30,21.409308
-334.785,30,21.595751
-323.402,30,21.779648
-336.885,30,21.975318
-337.419,30,22.163173
-315.826,30,23.285042
-315.616,30,23.472609
-340.078,30,23.674292
-314.678,30,23.861193
-326.065,30,24.048339
-324.16,30,24.232465
-335.704,30,24.419252
-333.534,30,24.605568
-344.236,30,24.789358
-329.521,30,24.980007
-312.276,30,26.102366
-350.327,30,26.297221
-341.502,30,26.4854
-342.816,30,26.684083
-337.015,30,26.870291
-331.15,30,27.057321
-344.211,30,27.241434
-321.588,30,27.429152
-316.813,30,27.615737
-321.29,30,27.807391
-320.103,30,28.931931
-347.1,30,29.119068
-346.77,30,29.306085
-325.078,30,29.496295
-344.138,30,29.694478
-351.161,30,29.878101
-322.327,30,30.065705
-321.61,30,30.252211
-327.522,30,30.435964
-337.989,30,30.622715
-329.338,30,31.747189
-322.735,30,31.930538
-317.367,30,32.116932
-337.329,30,32.311134
-332.964,30,32.500331
-324.875,30,32.696779
-342.806,30,32.883192
-346.801,30,33.066874
-315.343,30,33.253569
-327.13,30,33.439706
-329.391,30,34.574228
-340.863,30,34.759915
-330.006,30,34.947245
-341.93,30,35.134145
-344.214,30,35.317512
-326.122,30,35.518387
-323.328,30,35.711558
-330.197,30,35.895512
-327.569,30,36.081819
-331.851,30,36.268743
-331.084,30,37.406932
-327.236,30,37.605578
-321.163,30,37.78958
-325.646,30,37.97776
-355.608,30,38.164298
-331.389,30,38.348705
-344.915,30,38.948759
-323.787,30,39.136116
-318.577,30,39.322411
-319.367,30,39.513779
-326.988,30,40.633134
-321.893,30,40.819789
-315.095,30,41.004083
-318.306,30,41.191206
-315.587,30,41.382417
-309.554,30,41.589302
-326.28,30,41.777168
-319.157,30,41.964444
-332.541,30,42.151891
-324.596,30,42.336541
-316.877,30,43.458023
-317.834,30,43.656023
-330.841,30,43.843412
-330.888,30,44.029438
-329.136,30,44.214698
-325.43,30,44.40176
-325.113,30,44.592057
-311.202,30,44.77595
-323.135,30,44.970257
-327.893,30,45.157541
-320.804,30,46.282098
-308.653,30,46.469943
-337.607,30,46.671518
-302.183,30,46.856718
-342.985,30,47.046381
-339.142,30,47.233576
-337.643,30,47.418419
-330.627,30,47.6062
-319.906,30,47.801728
-335.169,30,47.986775
-310.776,30,49.109825
-351.116,30,49.297034
-337.912,30,49.489835
-322.299,30,49.688886
-323.538,30,49.87361
-307.576,30,50.060213
-316.353,30,50.247066
-289.614,30,50.432309
-342.606,30,50.619692
-331.323,30,50.814471
-337.52,30,51.939917
-334.414,30,52.124205
-322.461,30,52.311898
-316.012,30,52.501639
-323.642,30,52.698837
-333.452,30,52.883461
-322.754,30,53.069734
-327.409,30,53.25651
-323.312,30,53.440406
-345.676,30,53.632713
-325.228,30,54.763617
-326.616,30,54.950389
-335.405,30,55.13505
-316.702,30,55.330763
-321.154,30,55.527878
-334.209,30,55.721386
-333.564,30,55.905698
-315.469,30,56.09322
-337.882,30,56.280247
-335.638,30,56.468042
-348.267,30,57.589568
-321.212,30,57.773493
-323.707,30,57.969767
-323.155,30,58.159934
-339.157,30,58.794203
