#{"t_start": 1675718339.403459, "env_id": null}
r,l,t
-264.34695,30,0.031846
-258.17105,30,0.031895
-276.31366,30,0.031904
-281.01074,30,0.031912
-274.70508,30,0.092616
-258.681,30,0.092661
-274.13507,30,0.092671
-281.29816,30,0.092678
-265.43356,30,0.141215
-267.96457,30,0.141271
-261.4514,30,0.141281
-269.46075,30,0.141289
-263.15778,30,0.186123
-255.59601,30,0.186164
-271.30206,30,0.186174
-269.26938,30,0.186182
-272.25766,30,0.231402
-270.07443,30,0.231426
-274.19366,30,0.231435
-278.18106,30,0.231443
-266.56726,30,0.276641
-267.20526,30,0.276695
-263.3229,30,0.276705
-281.2915,30,0.276714
-257.8423,30,0.320343
-271.8387,30,0.320358
-256.0506,30,0.320367
-269.72058,30,0.320374
-272.8199,30,0.36627
-277.35034,30,0.366331
-267.53964,30,0.366342
-269.38135,30,0.36635
-268.27975,30,0.41016
-261.92957,30,0.410179
-267.17526,30,0.410188
-261.44873,30,0.410196
-270.77307,30,0.455548
-268.2418,30,0.4556
-285.85812,30,0.455612
-263.50806,30,0.45562
-265.27127,30,0.499829
-265.12543,30,0.499862
-268.41876,30,0.499871
-264.03787,30,0.499882
-271.64804,30,0.543596
-282.5905,30,0.543621
-255.36601,30,0.54363
-265.21335,30,0.543638
-269.06067,30,0.589239
-283.66782,30,0.589293
-265.221,30,0.589302
-278.3918,30,0.58931
-267.3819,30,0.633009
-268.27982,30,0.633048
-285.174,30,0.633057
-269.4523,30,0.633065
-276.61795,30,0.680265
-271.7444,30,0.680319
-281.21735,30,0.680328
-274.3934,30,0.680336
-271.12534,30,0.724433
-272.60275,30,0.724454
-263.80643,30,0.724463
-276.9721,30,0.724471
-273.82202,30,0.769703
-275.32382,30,0.769751
-269.61484,30,0.769761
-277.70743,30,0.769769
-278.04816,30,0.81445
-268.22174,30,0.814498
-273.5834,30,0.814511
-260.72546,30,0.814519
-274.25137,30,0.857789
-267.20172,30,0.857807
-280.73093,30,0.857816
-269.84424,30,0.857823
-266.63727,30,0.903391
-277.3886,30,0.903442
-276.29047,30,0.903452
