#{"t_start": 1675781054.616686, "env_id": null}
r,l,t
-17.656809,30,0.081579
-63.202026,30,0.081639
19.649776,30,0.081651
-183.17206,30,0.081661
-136.20673,30,0.201541
99.42782,30,0.201586
101.777016,30,0.201599
35.93725,30,0.201608
-21.93959,30,0.316074
-127.104546,30,0.316121
138.72342,30,0.316134
96.03468,30,0.316144
-81.92079,30,0.429286
37.259975,30,0.429333
-8.294306,30,0.429346
-78.69043,30,0.429355
-40.84571,30,0.542062
12.932604,30,0.542111
113.03628,30,0.542124
60.287468,30,0.542133
-38.568127,30,0.655438
127.41982,30,0.655485
-9.15622,30,0.655498
35.59552,30,0.655508
-45.01835,30,0.768503
124.64791,30,0.76855
29.238638,30,0.768563
33.008713,30,0.768574
167.40796,30,0.883383
21.743235,30,0.883428
-1.5817318,30,0.88344
142.84726,30,0.883449
19.07412,30,0.997116
-7.224434,30,0.997156
-7.9340363,30,0.997168
-33.003994,30,0.997178
-16.67205,30,1.109766
78.77232,30,1.109813
-22.649754,30,1.109826
-46.861485,30,1.109835
83.1936,30,1.22252
11.635388,30,1.222568
11.971882,30,1.22258
17.253342,30,1.22259
117.74986,30,1.340799
-70.46222,30,1.340834
127.4184,30,1.340846
23.516685,30,1.340855
3.9199414,30,1.458221
-7.330715,30,1.458265
154.93927,30,1.458277
186.58528,30,1.458285
110.964874,30,1.57175
110.635216,30,1.571794
-2.7012787,30,1.571806
107.11791,30,1.571815
203.06898,30,1.68445
77.47744,30,1.684495
39.025707,30,1.684509
156.8413,30,1.684518
209.8743,30,1.797385
287.23233,30,1.797433
47.04137,30,1.797446
2.3698232,30,1.797455
42.40132,30,1.910501
169.7155,30,1.910547
178.3496,30,1.910557
9.380495,30,1.910565
207.54749,30,2.023444
143.48459,30,2.023495
225.45026,30,2.023508
140.11603,30,2.023518
190.86769,30,2.13553
102.8031,30,2.135575
-99.303986,30,2.135587
242.34422,30,2.135596
75.0598,30,2.247507
229.20656,30,2.247558
232.7523,30,2.247571
181.30054,30,2.247581
262.09003,30,2.360455
184.20749,30,2.360504
150.37395,30,2.36246
36.59496,30,2.362481
152.8076,30,2.475109
234.57535,30,2.475155
209.52744,30,2.475167
321.63797,30,2.475176
246.87949,30,2.587366
198.9171,30,2.587411
200.50893,30,2.587424
260.44092,30,2.587433
332.41235,30,2.704579
291.38223,30,2.704623
270.81757,30,2.704635
265.90134,30,2.704645
249.45676,30,2.82136
153.00554,30,2.821405
238.00407,30,2.821416
330.77744,30,2.821425
183.81886,30,2.937
262.30728,30,2.93704
219.60464,30,2.937053
204.36263,30,2.937064
289.1262,30,3.052279
325.0948,30,3.052356
273.32434,30,3.052374
252.38112,30,3.052385
387.66208,30,3.171739
269.84918,30,3.171785
301.11203,30,3.171797
258.701,30,3.171806
323.63934,30,3.284596
376.5897,30,3.284642
279.21774,30,3.284654
99.34485,30,3.284663
317.90912,30,3.399701
230.2049,30,3.399741
302.90732,30,3.399753
169.42787,30,3.399762
314.52896,30,3.515355
184.46158,30,3.515394
305.28195,30,3.515404
164.92943,30,3.515412
214.31711,30,3.631111
244.31714,30,3.631147
170.9489,30,3.631158
338.20853,30,3.631167
135.90797,30,3.750171
325.40494,30,3.750211
191.69571,30,3.750223
190.33812,30,3.750232
18.931917,30,3.864467
293.66977,30,3.864518
178.59148,30,3.86453
128.48087,30,3.864541
254.32324,30,3.977399
180.73146,30,3.977442
194.77873,30,3.977455
352.74747,30,3.977465
258.47043,30,4.088993
144.78424,30,4.08904
114.520134,30,4.089052
150.78317,30,4.089061
190.61179,30,4.201351
209.56802,30,4.201402
183.45732,30,4.201414
159.53065,30,4.201424
283.87177,30,4.314417
147.37215,30,4.314464
73.14849,30,4.314476
130.92946,30,4.314485
250.93842,30,4.426679
145.44301,30,4.426724
263.598,30,4.426736
252.7053,30,4.426744
106.93333,30,4.540206
-2.3894992,30,4.540257
-12.282557,30,4.540269
194.45422,30,4.540281
122.22091,30,4.652594
108.36191,30,4.652643
62.243374,30,4.652655
-29.314451,30,4.652666
22.108276,30,4.763732
91.38886,30,4.763777
95.83334,30,4.763789
122.747986,30,4.763798
7.951566,30,4.875848
166.13403,30,4.875896
124.629036,30,4.875909
92.37881,30,4.875919
79.967285,30,4.987846
78.31528,30,4.98789
114.935295,30,4.987902
-9.825638,30,4.987912
94.32689,30,5.100219
76.24894,30,5.100264
41.063953,30,5.100285
163.26103,30,5.100294
-89.138245,30,5.212884
167.85754,30,5.212926
-109.50006,30,5.212937
14.478437,30,5.212946
18.621185,30,5.326607
6.7649665,30,5.326653
79.82471,30,5.326666
38.617317,30,5.326676
43.78515,30,5.440434
16.922798,30,5.440488
-47.601982,30,5.440499
47.953857,30,5.440511
-5.6667356,30,5.5527
-53.319733,30,5.552742
141.45642,30,5.552755
-102.00499,30,5.552765
-117.96494,30,5.669096
-63.54453,30,5.669141
-25.797699,30,5.669153
-62.316307,30,5.669163
30.332144,30,5.785355
46.90912,30,5.785395
24.771393,30,5.785408
-102.77416,30,5.785417
13.8515215,30,5.898466
56.74278,30,5.898517
-101.44877,30,5.898529
60.416077,30,5.898539
-101.81688,30,6.010172
-53.28694,30,6.01022
-15.025286,30,6.010233
-142.59433,30,6.010242
3.8960056,30,6.12159
44.369614,30,6.12164
-101.57638,30,6.121653
-13.809266,30,6.121662
-3.6599638,30,6.232752
-57.817745,30,6.232794
-118.72899,30,6.232806
-35.83674,30,6.232814
-43.740932,30,6.34539
10.537253,30,6.345439
-27.343008,30,6.345451
-40.60039,30,6.345462
9.896341,30,6.457368
-52.074966,30,6.457411
19.149973,30,6.457425
-61.193268,30,6.457433
-86.05858,30,6.570335
-40.280468,30,6.570378
87.51244,30,6.57039
-110.38818,30,6.5704
-25.285328,30,6.685134
-86.93697,30,6.68518
-80.217834,30,6.685192
-92.27318,30,6.685201
23.541212,30,6.799066
7.918894,30,6.799107
-86.12425,30,6.79912
60.88886,30,6.799129
-74.30216,30,6.912277
-100.268196,30,6.912315
-3.0662184,30,6.912327
-144.66188,30,6.912336
-63.318993,30,7.024056
-26.690462,30,7.024964
-114.01874,30,7.024986
-96.572334,30,7.024998
-84.89226,30,7.13694
16.04578,30,7.136985
-88.42636,30,7.136998
-16.956585,30,7.13701
-59.36271,30,7.248797
-90.87282,30,7.248852
-60.383583,30,7.248865
93.50718,30,7.248877
15.530657,30,7.359653
66.64208,30,7.359704
86.596886,30,7.359719
-25.55712,30,7.359729
-30.742785,30,7.47125
-27.191998,30,7.4713
-29.30172,30,7.471314
60.267155,30,7.471325
-59.122837,30,7.582944
31.24444,30,7.583
-105.26693,30,7.583013
5.5577173,30,7.583024
-96.33826,30,7.695398
11.312237,30,7.695447
-40.3741,30,7.69546
-27.229342,30,7.69547
-90.57566,30,7.807026
-108.66945,30,7.807077
-143.15945,30,7.807091
-57.31831,30,7.807101
-100.708916,30,7.919822
11.402029,30,7.919877
-50.882492,30,7.91989
-66.45888,30,7.9199
-99.84895,30,8.031623
-70.196045,30,8.031675
-88.230255,30,8.031687
26.405106,30,8.031697
-72.44526,30,8.143712
-88.05205,30,8.14376
-70.75877,30,8.143773
-7.9895964,30,8.143784
-126.57122,30,8.256992
-90.52165,30,8.257041
-8.863628,30,8.257055
-114.303314,30,8.257066
-52.11024,30,8.371052
27.1064,30,8.3711
30.574123,30,8.371114
37.87983,30,8.371125
50.217865,30,8.485084
-75.89806,30,8.485134
-13.789607,30,8.485148
-8.176388,30,8.485159
37.077454,30,8.598875
0.59830666,30,8.598921
-64.25444,30,8.598934
-31.180325,30,8.598944
-62.210598,30,8.71453
-42.852673,30,8.714577
132.29942,30,8.714591
-35.709347,30,8.714602
29.136772,30,8.82652
-12.693172,30,8.826573
58.82871,30,8.826587
-53.444096,30,8.826599
115.16632,30,8.939132
34.865685,30,8.939176
49.821045,30,8.93919
99.90286,30,8.9392
-43.0791,30,9.052121
-68.83641,30,9.052179
28.74474,30,9.052194
170.42072,30,9.052206
53.058044,30,9.163564
13.844774,30,9.163617
29.273445,30,9.163631
-63.14441,30,9.163644
14.937668,30,9.276208
-85.7521,30,9.276259
-8.615011,30,9.276274
-12.739155,30,9.276284
79.22523,30,9.388329
-65.35039,30,9.388385
-35.432327,30,9.388399
101.76582,30,9.38841
-65.44174,30,9.500067
94.38044,30,9.500111
-88.395065,30,9.500126
78.707184,30,9.500136
-54.146423,30,9.612212
