#{"t_start": 1676468148.85595, "env_id": "NetworkManagement-v1"}
r,l,t
-43086.888,30,0.201032
-88043.104,30,0.38791
-62988.04,30,0.570174
-34675.176,30,0.755961
-88426.223,30,0.942438
-72099.55,30,1.125806
-92200.135,30,1.307549
-26006.918,30,1.489382
-67624.822,30,1.668089
-79199.568,30,1.850475
-31322.121,30,2.031264
-90961.618,30,2.211355
-57486.655,30,2.393658
-46696.322,30,2.575109
-44360.064,30,2.754185
-52749.824,30,2.936313
-10572.713,30,3.119803
-7199.237,30,3.3004
-49894.794,30,3.481069
-74367.029,30,3.661713
-32258.505,30,3.840436
-53673.735,30,4.02185
-30717.699,30,4.206112
-24773.9,30,4.40611
-95034.008,30,4.596134
-64292.704,30,4.778005
-66158.793,30,4.96631
-27042.135,30,5.157336
-32573.427,30,5.344339
-35728.807,30,5.525169
-22783.165,30,5.706414
-27817.133,30,5.890641
-65653.763,30,6.074038
-64166.252,30,6.252211
-3112.027,30,6.432309
-110706.554,30,6.611888
-22851.534,30,6.789574
-55725.304,30,6.971937
-76571.881,30,7.153637
-56214.466,30,7.332984
-100862.066,30,7.513755
-20006.406,30,7.695585
-20688.771,30,7.875125
-54447.379,30,8.05533
-88086.972,30,8.235739
-4792.034,30,8.416814
-79196.401,30,8.597279
-2538.495,30,8.775856
-28834.541,30,8.957982
-65527.092,30,9.139411
-43403.395,30,9.320566
-1939.907,30,9.501862
-13765.664,30,9.681153
-34482.292,30,9.859946
-30892.66,30,10.040214
-86172.665,30,10.22083
-48183.113,30,10.400226
-87393.731,30,10.581493
-15056.616,30,10.762278
-13457.303,30,10.940639
-49563.506,30,11.120671
-30999.172,30,11.301811
-3956.137,30,11.480724
-37085.81,30,11.660095
-54236.145,30,11.843067
-35271.889,30,12.021564
-73803.567,30,12.202343
-88227.16,30,12.382218
-77836.193,30,12.564431
-88001.668,30,12.745272
-13619.875,30,12.923976
-47644.951,30,13.104934
-55733.004,30,13.284318
-2164.846,30,13.462834
-31306.953,30,13.643895
-8614.089,30,13.824244
-53562.33,30,14.009312
-4047.424,30,14.190226
-52598.346,30,14.37096
-53638.077,30,14.551449
-52167.691,30,14.733058
-1025.003,30,14.91104
-65236.284,30,15.092142
-75176.138,30,15.27274
-73738.086,30,15.451203
-25135.194,30,15.631411
-54286.49,30,15.811556
-4089.464,30,15.991451
-34986.564,30,16.171429
-34233.329,30,16.350164
-19950.087,30,16.530235
-41888.018,30,16.712713
-2877.661,30,16.894369
-63952.816,30,17.074218
-28032.733,30,17.254788
-44022.943,30,17.433864
-7646.202,30,17.615699
-38609.945,30,17.796469
-34089.524,30,17.978772
-35072.862,30,18.158988
-7499.797,30,18.337446
-63214.375,30,18.518301
-637.167,30,18.697121
-54997.985,30,18.877276
-35034.571,30,19.058066
-15596.066,30,19.237621
-7242.119,30,19.417767
-30555.018,30,19.597664
-35538.685,30,19.775484
-56828.018,30,19.958087
-67331.135,30,20.139454
-56750.262,30,20.318441
-51987.676,30,20.501661
-10307.16,30,20.683659
-53788.699,30,20.863063
-31196.709,30,21.045543
-23419.578,30,21.231498
105.418,30,21.417846
-6216.51,30,21.60233
-36204.714,30,21.78193
