#{"t_start": 1676491399.555751, "env_id": "NetworkManagement-v1"}
r,l,t
-44094.659,30,1.155348
-55410.897,30,2.372624
-1978.158,30,3.425251
-35960.931,30,4.496992
-3671.46,30,5.594775
-55044.42,30,6.65326
-67265.944,30,7.802767
-39745.454,30,9.03516
-88022.416,30,10.228313
-81819.864,30,11.308165
-89056.244,30,12.398545
-49377.804,30,13.560063
-67478.841,30,14.644199
-54724.544,30,15.85277
-17473.499,30,16.997427
-46626.935,30,18.057035
-41983.77,30,19.331069
-54227.973,30,20.482134
-52222.957,30,21.699643
-43605.089,30,22.86546
-74177.843,30,24.03566
-35265.109,30,25.385879
-34145.43,30,26.572678
-44759.03,30,27.771567
-108311.709,30,28.984554
-89565.836,30,30.192807
-72540.745,30,31.321806
-72817.037,30,32.519221
-52083.199,30,33.653651
-12233.706,30,34.748387
-72985.108,30,35.831344
-5088.542,30,36.966102
-31283.736,30,38.02867
-3961.069,30,39.051108
-72681.468,30,40.25705
-69230.896,30,41.564646
-58118.961,30,42.978354
-2728.406,30,44.029108
-55433.843,30,45.221241
-98960.736,30,46.270694
-73048.779,30,47.433223
-37951.277,30,48.467078
-55132.472,30,49.522409
-45130.927,30,50.56865
-32167.083,30,51.620572
-76059.344,30,52.668396
-65696.593,30,53.694139
-84783.546,30,54.730979
