#{"t_start": 1676170879.326682, "env_id": "NetworkManagement-v1"}
r,l,t
-47931.257,30,0.191101
-63843.803,30,0.391902
-56193.425,30,0.574638
-55933.904,30,1.004135
-49888.341,30,1.603541
-60502.59,30,2.171781
-77929.662,30,2.784451
-67110.851,30,3.35718
-76719.33,30,3.959408
-81469.68,30,4.530089
-63913.026,30,6.094519
-47071.788,30,6.736413
-45725.504,30,7.306176
-46502.219,30,7.922303
-36342.234,30,8.495171
-52858.66,30,9.093501
-54836.198,30,9.669519
-49413.48,30,10.273816
-29998.01,30,10.863135
-17612.853,30,11.463918
-29266.15,30,13.010781
-9253.433,30,13.675234
-6737.1,30,14.248297
-11016.19,30,14.858288
-12221.35,30,15.428922
-37259.384,30,16.032572
-26516.37,30,16.61817
-22043.013,30,17.215892
-21048.589,30,17.786542
515.804,30,18.40401
353.408,30,19.935018
-81.568,30,20.616973
-446.57,30,21.18761
-2235.83,30,21.790218
-1071.949,30,22.37182
-825.417,30,22.984304
-2922.936,30,23.568648
-4669.863,30,24.197771
-3015.427,30,24.770483
-2927.892,30,25.374972
-1299.79,30,26.910165
-1059.14,30,27.58805
-768.797,30,28.168975
-3198.635,30,28.769149
-2294.276,30,29.339759
-2225.012,30,29.95847
-4200.197,30,30.534858
-5455.745,30,31.139164
-3212.686,30,31.717069
-6303.138,30,32.327515
-5802.188,30,33.89582
-10193.879,30,34.575057
-2738.045,30,35.170495
-1932.144,30,35.751713
-5714.412,30,36.328596
-3628.966,30,36.931415
-14751.952,30,37.508315
-3869.069,30,38.13242
-6535.034,30,38.704064
-10186.933,30,39.304856
-10337.415,30,40.850715
-9629.591,30,41.517729
-7977.843,30,42.09219
-6620.803,30,42.708167
-5250.64,30,43.292867
-8812.796,30,43.898265
-6898.011,30,44.467521
-5165.126,30,45.075529
-8221.379,30,45.651188
-7931.513,30,46.253156
-7424.575,30,47.80755
-7320.082,30,48.501788
-6101.384,30,49.093233
-4534.538,30,49.698334
-6274.565,30,50.274488
-5623.343,30,50.883267
-4069.411,30,51.459601
-4633.837,30,52.069288
-3682.878,30,52.642656
-4598.694,30,53.210592
-1584.294,30,54.781457
-5691.513,30,55.484671
-4394.486,30,56.05934
-4944.245,30,56.664926
-4538.985,30,57.242516
-3190.578,30,57.850373
-3989.324,30,58.421018
-4925.511,30,59.027426
-4935.506,30,59.619283
-3621.716,30,60.223813
-3401.951,30,61.774292
-3625.518,30,62.477726
-3896.259,30,63.054103
-3271.093,30,63.670424
-2695.75,30,64.241571
-2862.903,30,64.861923
-2645.307,30,65.437526
-1851.579,30,66.037696
-2541.138,30,66.612438
-2845.579,30,67.218866
-2232.711,30,68.750632
-2695.849,30,69.412089
-3701.036,30,69.988801
-3130.101,30,70.610665
-3184.162,30,71.185084
-3517.361,30,71.79785
-2894.609,30,72.368913
-2579.947,30,72.982926
-2817.137,30,73.555516
-1964.961,30,74.166086
-1799.695,30,75.738998
-2668.573,30,76.424302
-2892.026,30,76.999999
-2245.053,30,77.610877
-3442.393,30,78.188129
-2311.619,30,78.786727
-2298.255,30,79.368091
-1546.068,30,79.973274
-2295.598,30,80.554598
-2547.583,30,81.157109
-3014.613,30,82.733138
-2376.079,30,83.428196
-2936.591,30,84.000737
-3365.072,30,84.620206
-2192.763,30,85.218726
-2590.194,30,85.848556
-2722.481,30,86.442558
-2145.356,30,87.050718
-1919.32,30,87.630764
-2029.652,30,88.231702
-2529.155,30,89.812679
-1419.899,30,90.512512
-3198.132,30,91.0853
