#{"t_start": 1676164073.0184991, "env_id": "NetworkManagement-v1"}
r,l,t
-39350.908,30,0.195298
-84473.61,30,0.378849
-54414.717,30,0.566964
-88437.228,30,0.754965
-83778.434,30,0.939287
-54639.039,30,1.13881
-57405.408,30,1.32611
-59898.005,30,1.512027
-46483.618,30,1.699068
-13398.691,30,1.884193
-37175.787,30,3.036444
-62664.463,30,3.223915
-75351.01,30,3.419542
-54684.38,30,3.614235
-53395.784,30,3.803546
-52200.368,30,3.991834
-45623.454,30,4.184795
-54509.758,30,4.371782
-75470.304,30,4.555108
-31647.382,30,4.742126
-25369.354,30,5.885622
-59535.237,30,6.074287
-42192.362,30,6.257868
-47386.877,30,6.443951
-65431.961,30,6.636845
-50647.587,30,6.830524
-9631.116,30,7.018941
-31642.273,30,7.202856
-32519.265,30,7.390343
-66766.047,30,7.576929
-23815.69,30,8.696426
-15506.18,30,8.882643
-38797.585,30,9.079216
-18494.685,30,9.266023
-5230.245,30,9.452563
-34716.732,30,9.65212
-4574.602,30,9.835875
-58539.425,30,10.022276
-88565.802,30,10.209236
-53288.4,30,10.397978
-21926.93,30,11.551571
-59514.147,30,11.740123
-104596.137,30,11.925405
-51407.238,30,12.111942
-76730.945,30,12.298382
-57425.37,30,12.483815
-48815.079,30,12.674165
-79256.838,30,12.863199
-87608.575,30,13.055547
-56859.442,30,13.242091
-14491.525,30,14.35787
-69665.321,30,14.545999
-22806.354,30,14.749946
-34001.848,30,14.937645
-42826.164,30,15.124341
-71949.307,30,15.30829
-37678.065,30,15.496468
-52716.135,30,15.686709
-31809.607,30,15.872747
-5573.749,30,16.06864
-86462.356,30,17.189209
-30775.88,30,17.37397
-10114.201,30,17.562167
-34564.932,30,17.774732
-31077.464,30,17.963039
-1183.755,30,18.148037
-28799.303,30,18.340317
-9714.749,30,18.52413
-29450.0,30,18.711804
-31647.77,30,18.898989
-1471.487,30,20.015935
-5331.712,30,20.202972
-3320.584,30,20.396503
-57151.56,30,20.604632
-70899.665,30,20.812534
-2681.442,30,21.000923
-57247.889,30,21.184839
-34902.483,30,21.371967
-88741.072,30,21.55815
-53272.401,30,21.751813
-47071.7,30,22.872614
-3254.078,30,23.058898
-53741.965,30,23.245006
-1880.661,30,23.432444
-1652.097,30,23.634512
-21856.127,30,23.82118
-20937.985,30,24.012284
-1421.442,30,24.195925
-659.424,30,24.383312
-63831.667,30,24.569791
-22270.463,30,25.68618
-41101.448,30,25.874145
-17996.597,30,26.070516
-38949.629,30,26.254751
-61783.45,30,26.445354
-76878.322,30,26.656198
-23677.573,30,26.844282
-22581.666,30,27.033018
-2566.778,30,27.22025
-34035.721,30,27.405562
-33788.586,30,28.524314
-44778.223,30,28.717957
