#{"t_start": 1676166910.5505679, "env_id": "NetworkManagement-v1"}
r,l,t
-336.434,30,0.230289
-311.626,30,0.442152
-322.396,30,0.656566
-345.875,30,0.865651
-335.341,30,1.605124
-337.476,30,1.823049
-326.737,30,2.031709
-333.172,30,2.240224
-333.4,30,2.840634
-319.459,30,3.064019
-330.032,30,4.3234
-330.852,30,4.539675
-323.875,30,5.25707
-313.578,30,5.46927
-342.722,30,5.680562
-315.28,30,5.892228
-327.079,30,6.105661
-322.127,30,6.70628
-354.395,30,6.911269
-333.379,30,7.109126
-351.389,30,8.331732
-327.364,30,8.938272
-345.465,30,9.153636
-309.046,30,9.345751
-332.545,30,9.545253
-337.676,30,10.138505
-344.031,30,10.343904
-356.765,30,10.551696
-330.987,30,10.765894
-309.122,30,11.384342
-323.543,30,12.580431
-361.638,30,12.779272
-350.639,30,13.012644
-328.86,30,13.283396
-339.292,30,13.872156
-315.357,30,14.086782
-319.057,30,14.284405
-328.471,30,14.479074
-328.873,30,15.052585
-342.156,30,15.245734
-325.879,30,16.45231
-329.771,30,16.657002
-330.76,30,17.315474
-348.743,30,17.512154
-328.344,30,17.707303
-332.876,30,17.905717
-336.442,30,18.511071
-346.991,30,18.726221
-353.839,30,18.934782
-340.472,30,19.134082
-341.749,30,20.2993
-344.186,30,20.914062
-347.967,30,21.197777
-332.796,30,21.401902
-348.79,30,21.601356
-342.479,30,22.187244
-348.827,30,22.389378
-343.947,30,22.583849
-350.735,30,22.783662
-351.618,30,23.419373
-333.317,30,24.606397
-345.243,30,24.823095
-338.972,30,25.083197
-347.499,30,25.288114
-353.031,30,25.862249
-342.872,30,26.06557
-339.381,30,26.261892
-332.042,30,26.470027
-339.14,30,27.073077
-326.274,30,27.268979
-331.568,30,28.447161
-334.389,30,28.666568
-339.521,30,29.339028
-310.887,30,29.537457
-325.098,30,29.732114
-334.233,30,29.926893
-348.071,30,30.554065
-338.837,30,30.768626
-338.049,30,30.975945
-321.926,30,31.170891
-329.159,30,32.343567
-331.99,30,32.967884
-326.528,30,33.208893
-327.305,30,33.406228
-303.913,30,33.605764
-322.851,30,34.17701
-333.074,30,34.385173
-314.351,30,34.598604
-321.994,30,34.812456
-328.9,30,35.417853
-304.397,30,36.604057
-320.17,30,36.818063
-331.912,30,37.030067
-329.034,30,37.646701
-302.625,30,37.844086
-321.265,30,38.035774
-321.775,30,38.242911
-310.568,30,38.441452
-306.851,30,39.037542
-314.074,30,39.248219
-325.947,30,40.419044
-323.401,30,40.619619
-321.566,30,41.267168
-330.321,30,41.471758
-314.116,30,41.689117
-319.773,30,41.900102
-334.727,30,42.491226
-313.246,30,42.689845
-298.989,30,42.888059
-336.94,30,43.089821
-317.468,30,44.708621
-324.208,30,44.907013
-337.884,30,45.121453
-292.81,30,45.324086
-306.84,30,45.528502
-338.269,30,46.118322
-339.304,30,46.316911
-353.733,30,46.514059
-328.096,30,46.711571
-334.839,30,47.303156
-328.065,30,48.481096
-315.849,30,48.685124
-336.811,30,48.887258
-312.979,30,49.512261
-322.725,30,49.716309
-317.177,30,49.936653
-301.512,30,50.161818
-308.51,30,50.383117
-285.531,30,50.9992
-291.198,30,51.200398
-325.665,30,52.399605
-325.604,30,52.612019
-286.123,30,53.242462
-300.789,30,53.445544
-301.383,30,53.655931
-310.455,30,53.856962
-308.009,30,54.470141
-322.591,30,54.685813
-320.16,30,54.89937
-319.312,30,55.096333
-295.545,30,56.689763
-320.53,30,56.898202
-323.529,30,57.126809
-306.433,30,57.324157
-296.956,30,57.518999
-310.103,30,58.089878
-294.609,30,58.294439
-299.538,30,58.544449
-311.188,30,58.758329
-318.452,30,59.326971
-345.024,30,60.505236
-306.663,30,60.723383
-318.629,30,60.938975
-301.775,30,61.527778
-311.013,30,61.724983
-288.114,30,61.925083
-333.722,30,62.121147
-305.266,30,62.724518
-314.871,30,62.940121
-325.839,30,63.136531
-323.137,30,64.307595
-290.927,30,64.523665
-307.675,30,65.162458
-325.748,30,65.361574
-316.521,30,65.560045
-310.733,30,65.753015
-283.742,30,66.355077
-313.737,30,66.568573
-288.179,30,66.781358
-287.893,30,66.982372
-323.465,30,68.56977
-308.615,30,68.781556
-298.08,30,69.013292
-285.857,30,69.244848
-323.192,30,69.82137
-321.09,30,70.026386
-309.948,30,70.233815
-303.981,30,70.449163
-312.799,30,70.663568
-306.157,30,71.232249
-320.22,30,72.449176
-288.121,30,72.645136
-288.601,30,72.848678
-318.825,30,73.493951
-311.183,30,73.693202
-321.665,30,73.891963
-319.664,30,74.106425
-319.22,30,74.704283
-323.986,30,74.923311
-310.907,30,75.133373
-303.512,30,76.305647
-316.281,30,76.508004
-300.705,30,77.137746
-296.585,30,77.342388
-313.93,30,77.54879
-307.63,30,77.757979
-297.83,30,78.36413
-312.933,30,78.562184
-295.744,30,78.761439
-309.556,30,78.956324
-310.186,30,80.564303
-300.149,30,80.773217
-306.662,30,80.976526
-320.379,30,81.198864
-288.004,30,81.768449
-292.939,30,81.969908
-287.377,30,82.171926
-264.715,30,82.372223
-288.113,30,82.571375
-287.048,30,83.160926
-284.031,30,84.364978
-291.396,30,84.567846
-280.111,30,84.780754
-309.252,30,85.421475
-292.194,30,85.634994
-305.318,30,85.84342
-293.194,30,86.038309
-295.663,30,86.627277
-305.674,30,86.823342
-289.069,30,87.019214
-310.277,30,88.22757
-333.368,30,88.821012
-314.859,30,89.054135
-298.95,30,89.278236
-304.501,30,89.488022
-299.156,30,89.699562
-290.106,30,90.30824
-299.684,30,90.505878
-289.481,30,90.70559
-306.012,30,90.902924
-284.929,30,92.499056
-309.011,30,92.697263
-271.761,30,92.891951
-287.586,30,93.152176
-282.323,30,93.747112
-265.837,30,93.944913
-273.571,30,94.16504
-280.401,30,94.362019
-293.214,30,94.937192
-267.999,30,95.149047
-274.087,30,96.336496
-274.923,30,96.565622
-259.109,30,96.759431
-269.504,30,97.367089
-282.937,30,97.565093
-298.807,30,97.785341
-284.501,30,97.982557
-275.184,30,98.56704
-253.872,30,98.770305
-260.495,30,98.985724
-260.649,30,100.165752
-268.38,30,100.778145
-269.871,30,100.994125
-257.17,30,101.224462
-292.068,30,101.422892
-282.253,30,101.625213
-256.407,30,102.20524
-275.979,30,102.413409
-299.278,30,102.630441
-258.897,30,102.844991
-281.798,30,104.496061
-259.571,30,104.705897
-266.382,30,104.909776
-279.997,30,105.118155
-263.11,30,105.685384
-268.847,30,105.887113
-264.939,30,106.08368
-256.649,30,106.305942
-270.065,30,106.896413
-259.686,30,107.093896
-263.463,30,108.287864
-278.496,30,108.513996
-266.304,30,108.713414
-274.095,30,109.332863
-261.632,30,109.529822
-284.798,30,109.726198
-278.894,30,109.933317
-271.837,30,110.578581
-279.968,30,110.777117
-266.855,30,110.979916
-296.393,30,112.231829
-275.17,30,112.85746
-266.92,30,113.091617
-295.814,30,113.290523
-264.772,30,113.488488
-266.913,30,114.070902
-287.358,30,114.269067
-283.777,30,114.493907
-283.381,30,114.696731
-287.22,30,114.912546
-286.763,30,116.477733
-291.06,30,116.683139
-276.97,30,116.885382
-256.764,30,117.106045
-265.2,30,117.716257
-290.869,30,117.9314
-285.198,30,118.162354
-291.964,30,118.366511
-298.617,30,118.947757
-283.449,30,119.146858
-291.85,30,120.324189
-305.278,30,120.53076
-306.207,30,121.225648
-301.085,30,121.427656
-276.488,30,121.625272
-279.904,30,121.820661
-282.71,30,122.019132
-284.633,30,122.650784
-264.417,30,122.861195
-287.927,30,123.073449
-295.259,30,124.253236
-281.213,30,124.888073
-272.806,30,125.11511
-254.654,30,125.317337
-269.116,30,125.512752
-273.998,30,126.075646
-289.048,30,126.284461
-281.42,30,126.502598
-287.562,30,126.717353
-290.8,30,126.914256
-293.27,30,128.501953
-239.806,30,128.702769
-281.968,30,128.90184
-288.536,30,129.132523
-296.426,30,129.707469
-271.727,30,129.903975
-257.103,30,130.106254
-275.425,30,130.327868
-265.448,30,130.92546
-301.458,30,131.125361
-297.384,30,132.343627
-284.917,30,132.540587
-282.001,30,133.1947
-280.981,30,133.389447
-258.754,30,133.588387
-277.024,30,133.789051
-244.551,30,133.99393
-315.907,30,134.594387
-274.049,30,134.802558
-274.196,30,135.018546
-303.913,30,136.199892
-280.712,30,136.840962
-309.478,30,137.062807
-280.954,30,137.291629
-318.728,30,137.493017
-307.563,30,138.091379
-287.007,30,138.306214
-306.978,30,138.510977
-322.056,30,138.708303
-301.212,30,139.286242
-276.8,30,140.501442
-315.437,30,140.719757
-312.998,30,140.92175
-306.641,30,141.152485
-329.498,30,141.729228
-298.48,30,141.93579
-279.486,30,142.151747
-277.885,30,142.388234
-303.613,30,142.968151
-293.883,30,143.167818
-310.583,30,144.356203
-303.405,30,144.57592
-298.554,30,145.23894
-276.727,30,145.439384
-305.009,30,145.641697
-278.03,30,145.852171
-282.375,30,146.443182
-286.265,30,146.655765
-334.016,30,146.871251
-281.434,30,147.072161
-281.388,30,148.2543
-279.564,30,148.890502
-279.356,30,149.115234
-288.202,30,149.311295
-308.847,30,149.507877
-284.491,30,150.071328
-275.596,30,150.293059
-319.489,30,150.494266
-301.95,30,150.708482
-309.729,30,151.297436
-322.465,30,152.480175
-320.334,30,152.693459
-309.084,30,152.918857
-326.234,30,153.146216
-308.104,30,153.711317
-325.11,30,153.909694
-293.134,30,154.10692
-317.175,30,154.31274
-284.388,30,154.900268
-294.992,30,155.10802
-316.493,30,156.265765
-316.528,30,156.463643
-292.717,30,157.098794
-301.387,30,157.29744
-292.926,30,157.493279
-265.913,30,157.692395
-322.598,30,158.266195
-294.06,30,158.474242
-284.846,30,158.688632
-291.835,30,158.907885
-295.447,30,160.088982
-283.232,30,160.700804
-321.902,30,160.918578
-279.293,30,161.223381
-271.205,30,161.423472
-279.675,30,162.004731
-280.367,30,162.205425
-292.389,30,162.403975
-303.698,30,162.599269
-296.172,30,163.182087
-306.912,30,164.364623
-265.952,30,164.582777
-273.263,30,164.779239
-276.0,30,165.397749
-281.284,30,165.602338
-290.861,30,165.815936
-266.288,30,166.029838
-298.897,30,166.242259
-286.311,30,166.834955
-292.464,30,167.030742
-282.913,30,168.215076
-312.633,30,168.427158
-270.841,30,169.124583
-302.016,30,169.323826
-283.54,30,169.521454
-288.222,30,169.715775
-259.284,30,170.325617
-304.513,30,170.527196
-290.408,30,170.732788
-282.73,30,170.946328
-274.547,30,172.559042
-320.598,30,172.754862
-284.814,30,172.957155
-280.922,30,173.218969
-304.24,30,173.450171
-300.126,30,174.08304
-300.534,30,174.288796
-293.854,30,174.489225
-277.051,30,174.687733
-307.282,30,175.270567
-299.84,30,176.46406
-284.452,30,176.660817
-299.771,30,176.862405
-300.225,30,177.455543
-283.499,30,177.653941
-292.048,30,177.865649
-286.234,30,178.079909
-302.844,30,178.295715
-302.682,30,178.905371
-298.424,30,179.107695
-296.08,30,180.270043
-267.166,30,180.464224
-287.28,30,181.126133
-293.11,30,181.34011
-332.866,30,181.539454
-291.502,30,181.737192
-300.967,30,182.318281
-292.444,30,182.526967
-281.369,30,182.730419
-310.232,30,182.931179
-297.088,30,184.549026
-307.486,30,184.74609
-294.624,30,184.945647
-281.495,30,185.186301
-307.535,30,185.383089
-330.485,30,185.96911
-278.532,30,186.183098
-306.394,30,186.410918
-279.944,30,186.623274
-297.63,30,187.196634
-267.178,30,188.375919
-299.405,30,188.575463
-275.125,30,188.789159
-295.774,30,189.466952
-259.868,30,189.664601
-291.036,30,189.858563
-285.201,30,190.054318
-300.725,30,190.635793
-274.438,30,190.851348
-270.913,30,191.064205
-283.935,30,192.245437
-314.427,30,192.444241
-285.105,30,193.146262
-288.984,30,193.344559
-286.633,30,193.54036
-285.282,30,193.737187
-276.703,30,194.345018
-285.041,30,194.546515
-300.249,30,194.761463
-290.248,30,194.973058
-271.146,30,196.587441
-267.543,30,196.804452
-295.213,30,197.021266
-291.225,30,197.242307
-272.059,30,197.81611
-281.007,30,198.016835
-245.864,30,198.216092
-286.885,30,198.422025
-268.623,30,198.634143
-279.147,30,199.239482
-305.233,30,200.421483
-276.922,30,200.631685
-244.703,30,200.862495
-270.936,30,201.519805
-267.307,30,201.712649
-255.989,30,201.912229
-269.988,30,202.110832
-245.476,30,202.707849
-251.528,30,202.92009
-274.126,30,203.123394
-248.144,30,204.313545
-251.195,30,204.518645
-255.393,30,205.176432
-229.378,30,205.375333
-254.451,30,205.573431
-263.711,30,205.769844
-243.789,30,206.405524
-240.805,30,206.61729
-229.251,30,206.828274
-244.934,30,207.028479
-226.443,30,208.602729
-263.423,30,208.809438
-231.063,30,209.047965
-261.139,30,209.287089
-265.698,30,209.868434
-233.419,30,210.066434
-225.983,30,210.268052
-252.325,30,210.465346
-246.801,30,210.662752
-232.047,30,211.255537
-254.114,30,212.489121
-266.819,30,212.688529
-262.549,30,212.895241
-253.127,30,213.525885
-258.228,30,213.733057
-215.009,30,213.932089
-242.18,30,214.154137
-221.638,30,214.743995
-240.658,30,214.939452
-239.839,30,215.141678
-275.062,30,216.367855
-236.547,30,216.955702
-229.673,30,217.175927
-225.639,30,217.382646
-235.86,30,217.578076
-262.147,30,217.781815
-259.921,30,218.413904
-231.065,30,218.628151
-217.696,30,218.834534
-247.288,30,219.033402
-226.023,30,220.649369
-259.502,30,220.864805
-249.169,30,221.098711
-249.528,30,221.304477
-265.173,30,221.879043
-232.037,30,222.085725
-216.127,30,222.28204
-250.898,30,222.480058
-248.731,30,223.051581
-250.989,30,223.268127
-271.142,30,224.456414
-255.99,30,224.663239
-247.641,30,224.861056
-240.194,30,225.529145
-262.745,30,225.724849
-257.176,30,225.923931
-229.979,30,226.123959
-258.776,30,226.728103
-246.315,30,226.944631
-244.914,30,227.156566
-262.295,30,228.335043
-261.334,30,228.949377
-254.789,30,229.173583
-254.371,30,229.369859
-257.645,30,229.567378
-231.811,30,229.763044
-243.196,30,230.3386
-246.031,30,230.537393
-250.439,30,230.730975
-242.592,30,230.935736
-237.246,30,232.55421
-255.737,30,232.751532
-271.253,30,232.950166
-256.076,30,233.228156
-253.298,30,233.788527
-251.172,30,233.996124
-232.254,30,234.202511
-289.866,30,234.426964
-285.095,30,235.008682
-255.358,30,235.21968
-235.88,30,236.415455
-228.067,30,236.63325
-227.806,30,236.83048
-218.917,30,237.489188
-228.049,30,237.685728
-225.65,30,237.883598
-236.147,30,238.100445
-252.712,30,238.703915
-246.188,30,238.900075
-231.609,30,239.095636
-226.263,30,240.2735
-255.245,30,240.890959
-252.602,30,241.175257
-252.892,30,241.367225
-233.896,30,241.564844
-236.218,30,242.185078
-261.316,30,242.396252
-230.153,30,242.589964
-223.164,30,242.7904
-219.423,30,242.986821
-211.436,30,244.558228
-261.911,30,244.777296
-273.551,30,244.982323
-240.989,30,245.203934
-250.917,30,245.776272
-230.61,30,245.972271
-248.916,30,246.172039
-251.739,30,246.377779
-242.526,30,246.980541
-249.597,30,247.176157
-211.745,30,248.343901
-239.603,30,248.546249
-269.055,30,249.216231
-235.507,30,249.41487
-226.092,30,249.612298
-252.466,30,249.808931
-262.868,30,250.010478
-234.874,30,250.604607
-239.298,30,250.812834
-258.744,30,251.025717
-237.488,30,252.212186
-264.12,30,252.821016
-212.715,30,253.025934
-251.798,30,253.250011
-251.332,30,253.450212
-201.924,30,254.026394
-235.23,30,254.224939
-210.953,30,254.43232
-205.372,30,254.626467
-230.974,30,254.827275
-242.109,30,256.491487
-211.727,30,256.685897
-243.486,30,256.892305
-209.444,30,257.109515
-244.156,30,257.6926
-199.678,30,257.886031
-213.244,30,258.081732
-227.569,30,258.280685
-247.63,30,258.882445
-250.008,30,259.078363
-238.943,30,260.300084
-226.594,30,260.497303
-224.215,30,261.194544
-200.492,30,261.40484
-232.51,30,261.610422
-233.921,30,261.810794
-186.787,30,262.015787
-210.84,30,262.595183
-212.065,30,262.791889
-219.283,30,262.992801
-177.505,30,264.191365
-205.529,30,264.813852
-210.377,30,265.032518
-211.97,30,265.257026
-182.685,30,265.462668
-195.416,30,266.035186
-197.43,30,266.233182
-223.296,30,266.437468
-225.196,30,266.634534
-221.095,30,267.228083
-199.261,30,268.412272
-224.075,30,268.622
-194.258,30,268.836275
-201.333,30,269.08147
-202.946,30,269.691393
-194.695,30,269.888927
-213.028,30,270.084745
-206.531,30,270.281424
-191.639,30,270.89612
-206.278,30,271.104438
-208.108,30,272.297603
-196.221,30,272.499448
-176.863,30,273.154772
-172.741,30,273.350994
-210.003,30,273.543906
-214.709,30,273.738969
