#{"t_start": 1676177806.470979, "env_id": "NetworkManagement-v1"}
r,l,t
-336.939,30,0.226021
-336.919,30,0.496198
-342.622,30,0.680827
-325.966,30,0.877105
-343.735,30,1.066507
-337.723,30,1.254382
-342.499,30,1.439675
-337.978,30,1.629404
-339.846,30,1.816181
-333.563,30,2.00008
-331.97,30,3.138517
-348.8,30,3.332895
-310.484,30,3.539393
-345.726,30,3.724739
-323.351,30,3.912275
-326.058,30,4.112253
-335.77,30,4.341636
-320.885,30,4.525663
-340.817,30,4.712646
-329.446,30,4.899796
-315.893,30,6.026842
-327.046,30,6.258055
-332.318,30,6.449821
-345.358,30,6.634987
-324.2,30,6.821308
-314.352,30,7.007684
-309.034,30,7.191013
-336.238,30,7.387366
-328.321,30,7.574021
-340.61,30,7.759243
-347.977,30,8.896795
-330.303,30,9.090136
-341.754,30,9.320731
-330.255,30,9.50817
-325.019,30,9.694916
-332.497,30,9.879444
-342.824,30,10.06605
-325.259,30,10.256173
-329.084,30,10.460135
-313.502,30,10.644581
-336.733,30,11.788946
-311.064,30,11.97345
-338.272,30,12.172909
-343.297,30,12.377301
-332.965,30,12.561185
-328.05,30,12.749272
-314.295,30,12.935649
-345.535,30,13.119983
-336.622,30,13.313763
-339.725,30,13.503392
-340.276,30,14.649971
-335.562,30,14.856301
-316.808,30,15.047064
-348.392,30,15.270407
-314.965,30,15.461352
-346.466,30,15.645469
-332.68,30,15.831465
-347.851,30,16.018403
-347.354,30,16.202198
-340.337,30,16.40307
-324.116,30,17.540746
-330.973,30,17.726696
-341.737,30,17.922602
-326.533,30,18.122185
-329.344,30,18.337362
-329.111,30,18.524427
-315.148,30,18.711011
-349.435,30,18.896033
-330.641,30,19.215555
-343.364,30,19.402259
-338.262,30,20.535865
-326.054,30,20.724552
-319.528,30,20.930163
-328.051,30,21.115333
-332.499,30,21.317647
-338.0,30,21.505824
-334.185,30,21.689361
-353.627,30,21.876437
-313.901,30,22.061788
-331.143,30,22.24645
-333.318,30,23.381967
-306.599,30,23.569704
-337.609,30,23.764822
-323.275,30,23.947878
-312.922,30,24.179248
-333.697,30,24.392411
-339.934,30,24.580891
-330.179,30,24.767375
-332.697,30,24.951213
-339.085,30,25.138071
-329.728,30,26.267842
-336.303,30,26.457774
-337.54,30,26.650846
-329.38,30,26.838417
-322.828,30,27.02555
-347.245,30,27.234383
-330.65,30,27.420995
-334.384,30,27.607438
-331.817,30,27.793477
-323.994,30,27.977679
-323.062,30,29.121308
-325.767,30,29.319298
-334.739,30,29.506663
-319.709,30,29.694026
-332.58,30,29.877516
-351.401,30,30.063234
-334.995,30,30.272006
-331.953,30,30.459754
-312.206,30,30.64267
-304.679,30,30.828592
-338.0,30,31.984693
-324.357,30,32.191048
-342.492,30,32.384307
-333.272,30,32.57726
-337.502,30,32.763479
-333.782,30,32.948565
-336.086,30,33.135453
-321.406,30,33.342969
-339.792,30,33.53249
-344.041,30,33.717432
-339.586,30,34.840045
-330.382,30,35.026003
-339.503,30,35.231894
-338.943,30,35.421266
-322.804,30,35.607946
-333.969,30,35.793033
-340.051,30,35.976008
-330.76,30,36.1718
-320.504,30,36.363085
-340.175,30,36.546011
-330.87,30,37.664573
-322.96,30,37.850818
-326.353,30,38.154303
-332.627,30,38.351437
-317.481,30,38.535708
-332.628,30,38.722801
-332.887,30,39.058612
-336.194,30,39.257983
-335.147,30,39.440992
-332.129,30,39.626762
-336.756,30,40.746642
-332.059,30,40.941493
-333.993,30,41.13855
-357.207,30,41.364029
-330.668,30,41.546309
-340.159,30,41.732414
-313.595,30,41.921652
-337.972,30,42.106292
-346.446,30,42.302398
-304.278,30,42.489787
-326.463,30,43.644981
-350.219,30,43.83407
-346.291,30,44.022049
-341.437,30,44.243495
-325.966,30,44.431566
-305.703,30,44.617928
-346.471,30,44.814406
-327.945,30,44.997567
-330.749,30,45.196651
-339.199,30,45.387275
-342.611,30,46.50676
-339.695,30,46.693058
-338.234,30,46.883093
