#{"t_start": 1676478578.1058729, "env_id": "NetworkManagement-v1"}
r,l,t
-1651.022,100,0.629048
-1592.001,100,1.210597
-1584.252,100,1.792338
-1651.705,100,2.368962
-1541.408,100,2.948984
-1478.734,100,3.519327
-1564.619,100,4.109086
-1610.271,100,4.730523
-1597.787,100,5.34211
-1516.236,100,5.935185
-1598.229,100,6.524892
-1675.822,100,7.17542
-1654.819,100,7.799554
-1623.524,100,8.419341
-1590.961,100,9.055591
-1651.541,100,9.676648
-1469.023,100,10.276747
-1608.852,100,10.924124
-1635.458,100,11.550526
-1541.692,100,12.125899
-1644.3,100,12.699779
-1565.011,100,13.290709
-1619.18,100,13.904525
-1590.174,100,14.513218
-1562.804,100,15.122661
-1547.439,100,15.728844
-1474.089,100,16.377209
-1442.042,100,17.001136
-1607.766,100,17.626216
-1593.057,100,18.279146
-1613.696,100,18.878052
-1597.34,100,19.488675
-1543.787,100,20.092284
-1610.96,100,20.684556
-1686.522,100,21.279489
-1675.817,100,21.889006
-1609.83,100,22.511727
-1610.706,100,23.125071
-1561.71,100,23.758243
-1551.163,100,24.369834
-1564.862,100,24.97243
-1535.632,100,25.587443
-1625.667,100,26.192913
-1599.622,100,26.834518
-1608.453,100,27.453615
-1688.68,100,28.080636
-1655.992,100,28.668892
-1637.026,100,29.250125
-1603.997,100,29.846046
-1619.605,100,30.419159
-1526.643,100,30.992891
-1518.642,100,31.55881
-1515.662,100,32.130097
-1522.253,100,32.703096
-1524.573,100,33.270955
-1638.724,100,33.864525
-1683.786,100,34.459917
-1666.766,100,35.087522
-1715.564,100,35.666607
-1629.912,100,36.271407
-1622.19,100,36.868291
-1612.823,100,37.453997
-1684.485,100,38.050367
-1645.138,100,38.655618
-1633.91,100,39.259708
-1595.729,100,39.852399
-1646.064,100,40.460113
-1635.343,100,41.04659
-1574.311,100,41.633656
-1567.164,100,42.262532
-1651.137,100,42.85024
-1649.703,100,43.425821
-1612.821,100,44.073752
-1567.418,100,44.678071
-1596.137,100,45.276202
-1606.493,100,45.893591
-1622.692,100,46.476226
-1556.435,100,47.077192
-1631.095,100,47.663217
-1562.161,100,48.23337
-1473.279,100,48.826657
-1597.853,100,49.396836
-1513.923,100,49.967626
-1540.258,100,50.561801
-1506.319,100,51.190644
-1503.812,100,51.77784
-1515.114,100,52.379982
-1496.477,100,52.991066
-1561.067,100,53.576774
-1506.878,100,54.183846
-1480.434,100,54.79965
-1494.71,100,55.382889
-1463.676,100,55.970182
-1417.718,100,56.572884
-1378.912,100,57.180582
-1478.532,100,57.808923
-1455.249,100,58.397462
-1389.409,100,59.004019
-1420.637,100,59.620269
-1439.88,100,60.226779
-1439.218,100,60.866443
-1388.177,100,61.46826
-1452.883,100,62.070268
-1474.084,100,62.653598
-1442.314,100,63.232524
-1672.203,100,63.806891
-1674.203,100,64.382384
-1669.513,100,64.953097
-1672.783,100,65.536131
-1677.553,100,66.124026
-1598.836,100,66.730244
-1447.681,100,67.323029
-1513.733,100,67.907909
-1487.757,100,68.483628
-1509.158,100,69.055311
-1454.224,100,69.65269
-1446.513,100,70.284171
-1549.096,100,70.888678
-1431.427,100,71.456019
-1585.647,100,72.035257
-1390.379,100,72.616888
-1387.257,100,73.195908
-1400.696,100,73.782175
-1430.35,100,74.363416
-1392.328,100,74.956429
-1401.35,100,75.534277
-1409.102,100,76.104763
-1282.388,100,76.673367
-1405.038,100,77.243868
-1368.542,100,77.813758
-1317.692,100,78.383528
-1380.864,100,78.960449
-1408.703,100,79.551657
-1359.967,100,80.144942
-1279.701,100,80.745731
-1289.918,100,81.346755
-1297.86,100,81.935616
-1318.798,100,82.573276
-1390.574,100,83.201024
-1312.575,100,83.825812
-1395.221,100,84.435605
-1435.077,100,85.076392
-1328.393,100,85.688854
-1304.516,100,86.284094
-1280.732,100,86.858574
-1277.982,100,87.447587
-1304.57,100,88.080141
-1329.402,100,88.670516
-1355.833,100,89.246449
-1379.349,100,89.832378
-1389.419,100,90.412232
-1313.436,100,90.988561
-1418.018,100,91.624619
-1462.233,100,92.268225
-1360.783,100,92.870845
-1286.27,100,93.46548
-1288.936,100,94.062317
-1349.474,100,94.686999
-1313.683,100,95.289355
-1326.078,100,95.884803
-1452.374,100,96.490237
-1440.544,100,97.120507
-1450.024,100,97.742832
-1438.414,100,98.336356
-1445.514,100,98.92849
-1359.902,100,99.547047
-1331.073,100,100.129698
-1425.983,100,100.715284
-1402.125,100,101.303292
-1363.591,100,101.916743
