#{"t_start": 1676294895.135351, "env_id": "NetworkManagement-v1"}
r,l,t
-329.119,30,0.187294
-345.903,30,0.372784
-324.002,30,0.550093
-328.541,30,0.741635
-343.929,30,0.914845
-334.153,30,1.087354
-341.63,30,1.287001
-343.201,30,1.465361
-317.553,30,1.646927
-337.179,30,1.820219
-334.775,30,2.012373
-336.728,30,2.192133
-334.674,30,2.368552
-343.062,30,2.556921
-317.138,30,2.734063
-336.297,30,2.912257
-347.597,30,3.103822
-339.318,30,3.276227
-337.593,30,3.448274
-331.793,30,3.620007
-334.235,30,3.808305
-309.162,30,3.980392
-337.413,30,4.1544
-325.489,30,4.34683
-331.617,30,4.522385
-323.841,30,4.702502
-341.909,30,4.894117
-337.136,30,5.066024
-331.464,30,5.239283
-339.623,30,5.410416
-353.373,30,5.602161
-332.371,30,5.773398
-334.223,30,5.9518
-329.578,30,6.146984
-335.063,30,6.3231
-325.889,30,6.495578
-319.8,30,6.686379
-347.123,30,6.857984
-332.545,30,7.039319
-327.172,30,7.216398
-338.867,30,7.402083
-318.646,30,7.580758
-333.86,30,7.758747
-335.086,30,7.949791
-325.01,30,8.12703
-336.998,30,8.30345
-337.114,30,8.497889
-325.939,30,8.678126
-343.938,30,8.858239
-334.697,30,9.037663
-314.021,30,9.228584
-330.269,30,9.40544
-316.99,30,9.582924
-316.162,30,9.77228
-334.258,30,9.945689
-326.465,30,10.117604
-332.903,30,10.323543
-335.154,30,10.497143
-328.378,30,10.677642
-304.166,30,10.856657
-308.899,30,11.048959
-328.128,30,11.227782
-339.287,30,11.406136
-312.668,30,11.601775
-317.559,30,11.77598
-310.403,30,11.956859
-327.404,30,12.147527
-312.822,30,12.326217
-317.86,30,12.500879
-313.34,30,12.676988
-308.235,30,12.866517
-317.068,30,13.041175
-321.044,30,13.216332
-328.339,30,13.403376
-325.239,30,13.574617
-292.735,30,13.748643
-301.858,30,13.936675
-310.761,30,14.118808
-324.669,30,14.295341
-306.159,30,14.472942
-310.206,30,14.664496
-305.879,30,14.838627
-328.298,30,15.014065
-303.422,30,15.213693
-310.806,30,15.392429
-285.776,30,15.569547
-324.208,30,15.771321
-313.888,30,15.955434
-332.99,30,16.137733
-299.782,30,16.317317
-314.451,30,16.505285
-328.514,30,16.675277
-316.151,30,16.846445
-305.993,30,17.032707
-320.858,30,17.2034
-296.673,30,17.374007
-321.41,30,17.560289
-321.172,30,17.730994
-320.936,30,17.900873
-333.163,30,18.070346
-320.78,30,18.256303
-311.052,30,18.42683
-331.578,30,18.597142
-331.131,30,18.784096
-311.085,30,18.954705
-297.382,30,19.12484
-317.828,30,19.311209
-316.577,30,19.481568
-303.992,30,19.651856
-295.163,30,19.822667
-296.463,30,20.008574
-281.737,30,20.182548
-307.917,30,20.353938
-288.855,30,20.540781
-297.838,30,20.711649
-294.521,30,20.882118
-278.683,30,21.068788
-281.212,30,21.239327
-299.065,30,21.410101
-296.721,30,21.581335
-267.576,30,21.769248
-295.441,30,21.939316
-294.55,30,22.109432
-311.5,30,22.295747
-279.857,30,22.465833
-284.472,30,22.635245
-308.653,30,22.820229
-296.282,30,22.990582
-318.044,30,23.160996
-295.46,30,23.331636
-299.358,30,23.516659
-300.961,30,23.686706
-288.059,30,23.856848
-305.532,30,24.041693
-269.499,30,24.212363
-270.614,30,24.38323
-291.513,30,24.569935
-297.759,30,24.740471
-284.811,30,24.910275
-287.767,30,25.090368
-269.373,30,25.280837
-285.694,30,25.457775
-310.717,30,25.633392
-266.769,30,25.825014
-300.212,30,26.000785
-288.112,30,26.1771
-275.543,30,26.372088
-265.389,30,26.54683
-248.305,30,26.723295
-284.96,30,26.899384
-270.282,30,27.086111
-263.651,30,27.258924
-293.442,30,27.429156
-280.825,30,27.616173
-271.994,30,27.792352
-278.343,30,27.967437
-280.158,30,28.156287
-293.43,30,28.332004
-314.109,30,28.506969
-257.387,30,28.681961
-275.183,30,28.871934
-288.794,30,29.047999
-259.226,30,29.221809
-308.456,30,29.412263
-292.863,30,29.589151
-270.135,30,29.765235
-237.88,30,30.055535
-242.51,30,30.227564
-241.26,30,30.409095
-245.78,30,30.583122
-242.4,30,30.759265
-295.055,30,30.955432
-284.571,30,31.13204
-267.873,30,31.314082
-287.47,30,31.505876
-276.555,30,31.681906
-271.046,30,31.854421
-263.399,30,32.043359
-264.479,30,32.215535
-282.036,30,32.39638
-243.378,30,32.571844
-266.512,30,32.771167
-280.555,30,32.943374
-248.613,30,33.124885
-267.876,30,33.315814
-290.663,30,33.492597
-257.575,30,33.663905
-305.709,30,33.857265
-262.453,30,34.03737
-277.264,30,34.210789
-275.618,30,34.382212
-291.203,30,34.576194
-273.238,30,34.750793
-279.64,30,34.921848
-298.659,30,35.10796
-292.396,30,35.279495
-301.115,30,35.452085
-295.058,30,35.639426
-271.615,30,35.817501
-291.757,30,35.994626
-308.647,30,36.171974
-293.399,30,36.364647
-256.861,30,36.542978
-281.267,30,36.717631
-284.538,30,36.911876
-288.592,30,37.090372
-268.608,30,37.273052
-268.604,30,37.46293
-278.425,30,37.636845
-249.779,30,37.807714
-289.06,30,37.978296
-262.832,30,38.182913
-280.658,30,38.363738
-278.446,30,38.537278
-235.562,30,38.727427
-261.948,30,38.907206
-282.911,30,39.084954
-264.349,30,39.276478
-306.088,30,39.454102
-273.317,30,39.636674
-291.23,30,39.810747
-296.798,30,40.001081
-301.095,30,40.172806
-282.59,30,40.353522
-291.027,30,40.547125
-289.797,30,40.727974
-293.699,30,40.904186
-294.827,30,41.10143
-299.084,30,41.277878
-308.997,30,41.455898
-289.825,30,41.634951
-306.434,30,41.828672
-312.189,30,42.009368
-316.078,30,42.187887
-298.323,30,42.377926
-305.862,30,42.550616
-303.348,30,42.722769
-288.764,30,42.914472
-304.912,30,43.094199
-291.606,30,43.268874
-312.463,30,43.445963
-324.32,30,43.641587
-294.375,30,43.816927
-324.086,30,43.996354
-291.245,30,44.187167
-306.428,30,44.35932
-305.638,30,44.536711
-302.994,30,44.727542
-288.14,30,44.903539
-323.805,30,45.076489
-310.089,30,45.251088
-304.445,30,45.443641
-305.212,30,45.624141
-319.117,30,45.801275
-326.034,30,45.994239
-299.63,30,46.171308
-285.22,30,46.346628
-321.691,30,46.535439
-318.77,30,46.710012
-296.638,30,46.880246
-296.005,30,47.055938
-275.571,30,47.242832
-283.824,30,47.412938
-303.763,30,47.584163
-302.61,30,47.774915
-323.007,30,47.962837
-307.807,30,48.138583
-293.983,30,48.335547
-303.316,30,48.511667
-308.089,30,48.686538
-309.565,30,48.867336
-301.314,30,49.059946
-314.717,30,49.23657
-296.74,30,49.416986
-282.794,30,49.61481
-304.293,30,49.787925
-318.307,30,49.958362
-301.817,30,50.144309
-299.558,30,50.314853
-312.859,30,50.486424
-312.572,30,50.657072
-292.638,30,50.841959
-287.591,30,51.012272
-303.407,30,51.182527
-283.783,30,51.368687
-313.359,30,51.538715
-283.773,30,51.70937
-311.207,30,51.895082
-285.059,30,52.065088
-314.726,30,52.234261
-320.771,30,52.403161
-281.524,30,52.591219
-307.847,30,52.763924
-312.642,30,52.936927
-295.32,30,53.130233
-278.204,30,53.30876
-294.211,30,53.480934
-282.616,30,53.66956
-310.015,30,53.840504
-308.599,30,54.014721
-291.757,30,54.190418
-280.98,30,54.382276
-304.22,30,54.559213
-283.86,30,54.731772
-287.503,30,54.922152
-316.576,30,55.099046
-276.469,30,55.278034
-298.708,30,55.463811
-284.098,30,55.634906
-288.639,30,55.811038
-263.433,30,55.982801
-293.322,30,56.174768
-280.084,30,56.344853
-289.618,30,56.51443
-280.646,30,56.701373
-289.905,30,56.871344
-298.166,30,57.040534
-303.204,30,57.226223
-269.439,30,57.395989
-266.959,30,57.56604
-266.015,30,57.746933
-311.947,30,57.935776
-301.574,30,58.10669
-308.729,30,58.28272
-289.673,30,58.476711
-293.408,30,58.652795
-279.531,30,58.827911
-281.832,30,59.013589
-248.54,30,59.184193
-277.602,30,59.359929
-276.566,30,59.532101
-265.781,30,59.72425
-279.567,30,59.900215
-262.038,30,60.075565
-233.46,30,60.267719
-271.496,30,60.43984
-297.37,30,60.613097
-243.355,30,60.900882
-242.785,30,61.076736
-241.655,30,61.248083
-243.155,30,61.416972
-242.245,30,61.59143
-266.057,30,61.780142
-276.984,30,61.957095
-267.414,30,62.131847
-278.846,30,62.328871
-246.986,30,62.50376
-284.802,30,62.67701
-265.675,30,62.870833
-227.897,30,63.043858
-263.316,30,63.21916
-294.201,30,63.390687
-260.93,30,63.57774
-266.976,30,63.749411
-276.535,30,63.920138
-228.064,30,64.107573
-226.298,30,64.278242
-242.803,30,64.448292
-291.665,30,64.637097
-248.929,30,64.814224
-227.738,30,64.985653
-241.738,30,65.171618
-256.231,30,65.401475
-256.764,30,65.602313
-244.851,30,65.775192
-237.582,30,65.968195
-251.568,30,66.139104
-231.586,30,66.309892
-247.197,30,66.496884
-238.744,30,66.666921
-263.749,30,66.836962
-217.942,30,67.008176
-201.233,30,67.194264
-185.911,30,67.364752
-221.584,30,67.540633
-231.586,30,67.735146
-199.735,30,67.911898
-232.798,30,68.086845
-218.521,30,68.277957
-219.295,30,68.453798
-217.664,30,68.627495
-204.303,30,68.799816
-268.672,30,68.985686
-204.572,30,69.160371
-234.705,30,69.339574
-232.21,30,69.533287
-221.056,30,69.706455
-243.463,30,69.887215
-219.807,30,70.076196
-229.618,30,70.247585
-248.328,30,70.418321
-211.308,30,70.589389
-201.947,30,70.783875
-237.378,30,70.959482
-212.755,30,71.132959
-217.228,30,71.327654
-233.027,30,71.500204
-211.224,30,71.671975
-228.006,30,71.864807
-247.636,30,72.038597
-223.621,30,72.23514
-211.041,30,72.413342
-274.868,30,72.612558
-244.246,30,72.791088
-212.806,30,72.973346
-251.878,30,73.166456
-250.7,30,73.344988
