#{"t_start": 1676371859.303783, "env_id": "NetworkManagement-v1"}
r,l,t
-1636.965,100,0.689724
-1659.902,100,2.125091
-1609.666,100,3.634615
-1634.827,100,5.011989
-1608.269,100,6.442165
-1577.24,100,7.878833
-1583.797,100,9.329474
-1558.921,100,10.792787
-1539.391,100,12.252621
-1577.025,100,13.714164
-1654.359,100,15.108241
-1543.151,100,16.639561
-1600.84,100,18.060769
-1645.37,100,19.595842
-1608.877,100,21.170505
-1584.721,100,22.776006
-1596.361,100,24.24932
-1641.612,100,25.916402
-1663.176,100,27.525758
-1577.276,100,29.006301
-1567.746,100,30.498338
-1546.964,100,32.046246
-1608.672,100,33.57849
-1599.421,100,35.012556
-1641.824,100,36.54914
-1657.747,100,38.081028
-1601.202,100,39.547725
-1595.663,100,40.978679
-1587.018,100,42.458866
-1614.722,100,43.914678
-1608.992,100,45.523122
-1654.452,100,47.046509
-1571.927,100,48.572392
-1613.144,100,49.980545
-1541.134,100,51.539962
-1525.25,100,53.072504
-1576.798,100,54.524995
-1590.437,100,56.023222
-1530.998,100,57.553929
-1526.018,100,59.009322
-1556.059,100,60.563378
-1530.41,100,62.080016
-1526.308,100,63.496516
-1486.663,100,64.965747
-1489.638,100,66.498363
-1546.456,100,67.90646
-1520.223,100,69.216768
-1505.158,100,70.524047
-1431.107,100,71.912901
-1389.014,100,73.237128
-1426.55,100,73.821256
-1407.97,100,74.404961
-1417.85,100,74.993562
-1413.14,100,75.601364
-1416.03,100,76.222585
-1374.82,100,77.723306
-1412.92,100,79.201518
-1422.083,100,80.629554
-1421.574,100,82.110029
-1436.114,100,83.538713
-1392.751,100,85.011914
-1399.0,100,86.46491
-1324.149,100,87.894522
-1304.267,100,89.314933
-1307.171,100,90.79501
-1361.917,100,92.184949
-1346.874,100,93.659034
-1357.512,100,95.058755
-1266.242,100,96.470705
-1326.444,100,97.889388
-1341.187,100,99.303034
-1328.965,100,100.710764
-1297.27,100,102.12575
-1277.358,100,103.535727
-1290.402,100,104.959156
-1213.488,100,106.325464
-1251.673,100,107.708541
-1299.59,100,109.130615
-1296.086,100,110.606796
-1259.811,100,112.16735
-1224.921,100,113.698832
-1255.73,100,115.050992
-1116.012,100,116.474064
-1259.085,100,117.960754
-1210.328,100,119.471163
-1204.4,100,120.964373
-1207.374,100,122.574042
-1249.813,100,124.183939
-1249.003,100,125.67733
-1204.916,100,127.10292
-1298.152,100,128.632999
-1304.116,100,130.037654
-1234.032,100,131.413698
-1282.577,100,132.831811
-1351.63,100,134.203904
-1344.612,100,135.65664
-1312.333,100,137.004652
-1401.895,100,138.549592
-1382.5,100,139.876004
-1350.996,100,141.276866
-1327.522,100,142.721671
-1265.252,100,144.043717
-1351.334,100,145.429757
-1283.8,100,146.777591
-1383.757,100,148.132221
-1422.685,100,148.725929
-1425.105,100,149.320184
-1435.305,100,149.916288
-1429.155,100,150.54305
-1436.115,100,151.195056
-1407.193,100,152.608249
-1434.278,100,153.980138
-1423.704,100,155.416814
-1479.646,100,156.794305
-1406.956,100,158.148527
-1421.84,100,159.501804
-1478.027,100,160.98693
-1472.5,100,162.404531
-1492.943,100,163.826244
-1426.96,100,165.184923
-1496.357,100,166.634816
-1468.159,100,168.037834
-1469.119,100,169.530506
-1484.74,100,171.113539
-1514.232,100,172.735687
-1523.552,100,174.147065
-1479.241,100,175.623693
-1553.751,100,177.123589
-1503.367,100,178.676161
-1523.806,100,180.269729
-1497.454,100,181.749261
-1534.693,100,183.24331
-1490.909,100,184.541316
-1445.368,100,186.022165
-1465.194,100,187.55655
-1430.003,100,188.962304
-1419.716,100,190.39842
-1396.064,100,191.758055
-1414.167,100,193.183279
-1357.897,100,194.860431
-1437.043,100,196.347394
-1467.58,100,197.847539
-1442.172,100,199.29591
-1424.872,100,200.842349
-1538.143,100,202.323597
-1452.757,100,203.837155
-1386.195,100,205.506115
-1405.772,100,207.064144
-1413.007,100,208.509467
-1409.646,100,209.96451
-1374.605,100,211.401203
-1448.343,100,212.878557
-1480.349,100,214.299255
-1439.153,100,215.612149
-1455.071,100,217.005668
-1487.27,100,218.425302
-1368.951,100,219.802032
-1390.299,100,221.236524
-1466.949,100,222.64017
-1419.117,100,224.08179
-1431.925,100,224.676445
-1423.235,100,225.269866
-1424.295,100,225.864673
-1426.715,100,226.461651
-1429.295,100,227.052934
-1412.869,100,228.557938
-1364.817,100,229.960949
-1327.977,100,231.401848
-1408.852,100,232.759167
-1415.955,100,234.185387
-1339.986,100,235.619529
-1348.685,100,237.005552
-1355.445,100,238.401535
-1326.299,100,239.831076
-1349.46,100,241.357882
-1275.711,100,242.850757
-1341.98,100,244.135076
-1283.055,100,245.611056
-1352.664,100,247.071675
-1305.7,100,248.614473
-1430.614,100,250.1495
-1383.601,100,251.611319
-1345.126,100,253.051738
-1403.824,100,254.440312
-1327.179,100,255.882851
-1403.445,100,257.213898
-1326.944,100,258.743892
-1299.945,100,260.264582
-1407.021,100,261.798079
-1405.68,100,263.266238
-1369.112,100,264.629464
-1294.572,100,266.107484
-1303.945,100,267.582839
-1327.888,100,269.087514
-1362.174,100,270.599157
-1287.249,100,272.050243
-1310.182,100,273.557069
-1267.693,100,274.905654
-1305.692,100,276.368844
-1288.84,100,277.815195
-1345.897,100,279.2295
-1305.46,100,280.743044
-1259.359,100,282.147272
-1284.81,100,283.50421
-1245.167,100,284.934166
-1255.406,100,286.352186
