#{"t_start": 1676372365.3919392, "env_id": "NetworkManagement-v1"}
r,l,t
-1635.411,100,0.629216
-1567.232,100,1.99996
-1618.692,100,3.508945
-1546.36,100,4.872355
-1523.675,100,6.299483
-1549.22,100,7.748049
-1589.774,100,9.163648
-1521.632,100,10.633433
-1603.407,100,12.11617
-1551.183,100,13.583942
-1546.982,100,14.94682
-1527.481,100,16.464768
-1572.693,100,17.899074
-1559.651,100,19.438957
-1585.699,100,20.835533
-1576.446,100,22.268437
-1562.229,100,23.65452
-1456.832,100,25.157141
-1541.546,100,26.624334
-1554.147,100,28.021971
-1351.17,100,29.498778
-1504.317,100,31.085729
-1560.226,100,32.58364
-1496.848,100,34.017306
-1441.567,100,35.530155
-1515.034,100,36.976601
-1437.099,100,38.509438
-1540.026,100,39.996789
-1464.925,100,41.555505
-1496.354,100,42.993395
-1599.284,100,44.454126
-1569.775,100,45.837654
-1561.58,100,47.357423
-1522.95,100,48.71426
-1454.997,100,50.129985
-1478.743,100,51.585742
-1397.764,100,53.065924
-1436.052,100,54.516212
-1330.824,100,55.966272
-1362.885,100,57.343565
-1299.955,100,58.849065
-1441.434,100,60.278875
-1415.848,100,61.687811
-1371.302,100,63.087938
-1309.589,100,64.633341
-1409.103,100,66.079234
-1324.826,100,67.376085
-1418.45,100,68.791845
-1320.235,100,70.253537
-1412.943,100,71.598002
-1644.546,100,72.181765
-1625.966,100,72.764854
-1635.846,100,73.343003
-1631.136,100,73.923897
-1634.026,100,74.559004
-1374.63,100,76.160335
-1300.297,100,77.714388
-1302.357,100,79.177164
-1314.966,100,80.632276
-1300.024,100,82.079613
-1447.807,100,83.611154
-1348.623,100,85.0859
-1337.703,100,86.653667
-1431.19,100,88.223164
-1373.413,100,89.737532
-1385.646,100,91.216971
-1353.172,100,92.760652
-1429.502,100,94.185465
-1367.606,100,95.598662
-1331.14,100,97.058841
-1204.857,100,98.48791
-1273.552,100,99.933475
-1318.709,100,101.35188
-1213.232,100,102.738321
-1233.029,100,104.117666
-1248.344,100,105.472819
-1294.159,100,106.900368
-1299.925,100,108.332011
-1275.747,100,109.794778
-1247.717,100,111.406827
-1321.89,100,113.106626
-1284.685,100,114.549976
-1367.915,100,116.004243
-1371.673,100,117.520952
-1319.723,100,119.011817
-1336.034,100,120.531947
-1308.269,100,122.111271
-1323.229,100,123.65096
-1411.259,100,125.372261
-1355.545,100,126.887883
-1340.515,100,128.499216
-1328.867,100,130.051943
-1295.161,100,131.707597
-1390.928,100,133.224689
-1479.54,100,134.800718
-1465.415,100,136.402809
-1479.653,100,137.804091
-1449.947,100,139.16826
-1491.658,100,140.520356
-1447.505,100,141.95477
-1465.636,100,143.443522
-1416.42,100,144.960121
-1435.302,100,146.445221
-1428.708,100,147.935768
-1420.764,100,149.430589
-1645.37,100,150.064718
-1647.7,100,150.69966
-1657.9,100,151.356396
-1651.87,100,152.017531
-1658.71,100,152.621534
-1432.038,100,154.09061
-1409.745,100,155.589912
-1464.251,100,157.102179
-1463.439,100,158.681324
-1355.698,100,160.179308
-1330.047,100,161.630222
-516.191,100,163.161031
-460.399,100,164.636813
-604.991,100,166.273674
-451.719,100,167.762169
-508.231,100,169.288501
-434.253,100,170.736751
-561.733,100,172.238313
-440.98,100,173.759099
-531.521,100,175.237863
-541.249,100,176.694932
-485.0,100,178.235787
-519.046,100,179.78971
-539.026,100,181.400592
-513.815,100,182.977396
-518.593,100,184.529854
-515.333,100,185.981989
