#{"t_start": 1676473699.732982, "env_id": "NetworkManagement-v1"}
r,l,t
-1377921.185,100,0.633171
-1934038.05,100,1.826283
-2059907.0,100,2.946026
-1375588.305,100,4.011505
-1441115.235,100,5.084481
-727676.22,100,6.170326
-717115.559,100,7.252389
-1241851.05,100,8.337364
-729778.47,100,9.423545
-714421.17,100,10.505773
-714672.63,100,11.578084
-702467.68,100,12.655913
-717543.724,100,13.785184
-708279.672,100,14.95043
-726170.74,100,16.040869
-719808.716,100,17.181646
-750712.164,100,18.341571
-743130.23,100,19.467955
-742996.15,100,20.542471
-701730.9,100,21.625033
-726281.962,100,22.703988
-720889.95,100,23.789755
-725829.218,100,24.886388
-742437.604,100,25.991567
-725501.008,100,27.071159
-702567.822,100,28.154213
-770727.05,100,29.236804
-712719.02,100,30.320798
-15526.881,100,31.398527
-14066.01,100,32.466525
-14032.906,100,33.543647
-14004.43,100,34.626629
-13981.374,100,35.708737
-13958.039,100,36.783039
-25900.39,100,37.856873
-32172.87,100,38.934288
-140154.3,100,40.015034
-54210.17,100,41.114459
-146244.98,100,42.21551
-85719.48,100,43.302767
-116856.71,100,44.379047
-110319.964,100,45.454151
-697969.93,100,46.536423
-32179.38,100,47.623978
-37666.31,100,48.707325
-82439.93,100,49.78636
-142063.87,100,50.858811
-658061.37,100,51.939657
-657950.05,100,53.021844
-657919.56,100,54.105555
-657953.1,100,54.6753
-658018.19,100,55.245337
-658058.52,100,55.81787
-658158.82,100,56.384455
-658098.74,100,56.973423
-657664.04,100,58.150315
-657860.63,100,59.251808
-657949.5,100,60.33959
-658036.83,100,61.427185
-658134.72,100,62.509746
-658069.68,100,63.582292
-658012.69,100,64.651508
-657928.75,100,65.738678
-658174.38,100,66.860823
-657916.29,100,67.94493
-658375.9,100,69.02169
-657793.95,100,70.213932
-658096.46,100,71.32366
-657748.84,100,72.409509
-657888.93,100,73.50498
-657885.55,100,74.636115
-657865.48,100,75.783913
-657874.74,100,76.906428
-658254.6,100,78.015552
-658234.04,100,79.193059
-658011.18,100,80.351549
-658023.23,100,81.500415
-658010.83,100,82.684706
-657931.85,100,83.786427
-657842.05,100,84.883657
-657856.08,100,85.960442
-658063.42,100,87.041491
-657919.82,100,88.123455
-658047.01,100,89.212417
-658111.87,100,90.288933
-658114.7,100,91.377723
-658018.44,100,92.459707
-657851.53,100,93.544684
-657949.46,100,94.621803
-657779.17,100,95.703416
-657883.64,100,96.779484
-657792.93,100,97.88053
-658059.73,100,98.981319
-658129.84,100,100.067331
-658185.43,100,101.14369
-658033.58,100,102.215259
-657731.04,100,103.307351
-657882.88,100,104.388779
-658048.31,100,105.463711
-658005.17,100,106.539317
-657826.01,100,107.601626
-658107.31,100,108.680084
-658054.41,100,109.758133
-658131.51,100,110.845957
-657901.91,100,111.928221
-657811.28,100,112.493954
-658012.45,100,113.061907
-658022.53,100,113.628764
-658167.62,100,114.19873
-658089.98,100,114.766357
-658187.87,100,115.867181
-657986.26,100,116.953965
-657933.35,100,118.027029
-657835.56,100,119.108026
-657969.56,100,120.196105
-657979.58,100,121.316928
-657773.33,100,122.434552
-658028.88,100,123.522104
-657732.09,100,124.603222
-657910.2,100,125.691103
-657999.47,100,126.770915
-657947.04,100,127.878813
-658135.76,100,128.979982
-657860.21,100,130.066133
-657789.47,100,131.144797
-658125.82,100,132.249049
-657862.95,100,133.332169
-658127.75,100,134.426101
-657897.25,100,135.510884
-658157.26,100,136.592012
-657965.09,100,137.656216
-658101.47,100,138.733254
-657928.8,100,139.815115
-657924.09,100,140.895889
-658176.51,100,141.971928
-658045.6,100,143.066726
-658233.41,100,144.149535
-657899.31,100,145.222919
-658228.58,100,146.316347
-658131.8,100,147.391941
-657668.96,100,148.469717
-657963.11,100,149.565206
-657960.01,100,150.649754
-658197.69,100,151.726343
-658272.21,100,152.805035
-657869.83,100,153.891168
-658151.68,100,154.978938
-658106.69,100,156.051841
-658000.4,100,157.143142
-657858.13,100,158.227327
-657954.76,100,159.302524
-658117.92,100,160.385208
-658151.82,100,161.486177
-657803.09,100,162.559784
-658033.42,100,163.648187
-658170.14,100,164.738939
-657866.89,100,165.836903
-658038.0,100,166.910097
-657976.06,100,167.983352
-657930.79,100,169.05635
-658076.03,100,169.630856
-658023.5,100,170.210043
-657808.62,100,170.778024
-658000.08,100,171.34503
-658000.05,100,171.922037
-657943.51,100,173.026721
-658106.19,100,174.105462
-657762.03,100,175.181652
-658057.26,100,176.253976
-658141.33,100,177.328825
-657949.17,100,178.404441
-657936.48,100,179.497715
-657994.84,100,180.585834
-657838.67,100,181.671599
-658299.1,100,182.727115
-658077.12,100,183.817339
-658209.69,100,184.896629
-658082.09,100,185.977287
-657978.33,100,187.064837
-657955.07,100,188.143931
-658248.34,100,189.244235
-657780.32,100,190.322942
-658153.13,100,191.399568
-658066.05,100,192.486072
-658218.06,100,193.569034
-658312.06,100,194.656309
-658049.09,100,195.737935
-658049.99,100,196.828226
-658263.51,100,197.909402
-657734.97,100,198.98829
-658251.17,100,200.079225
-658053.79,100,201.17616
-657795.42,100,202.238536
-657982.87,100,203.314532
-657678.27,100,204.390874
-658009.78,100,205.472564
-657864.56,100,206.579518
-657920.69,100,207.682122
-658059.66,100,208.782452
-657956.28,100,209.868927
-657809.94,100,210.945225
-657851.81,100,212.014097
-657931.0,100,213.09839
-658259.41,100,214.191526
-657992.23,100,215.282261
-657974.57,100,216.358508
-658061.64,100,217.423363
-658198.59,100,218.51084
-657915.68,100,219.603433
-657807.38,100,220.713256
-658062.42,100,221.803353
-658123.19,100,222.887326
-657954.63,100,223.964875
-657732.75,100,225.041639
-657938.34,100,226.125958
-658115.06,100,226.69956
-658099.66,100,227.317378
-657920.77,100,227.945607
-657836.21,100,228.543126
-658251.71,100,229.13767
-658083.49,100,230.274718
-657966.76,100,231.417618
-658360.1,100,232.512878
-658091.88,100,233.586812
-657774.12,100,234.664296
-658141.1,100,235.792768
-658135.11,100,236.880572
-657995.26,100,237.993668
-658102.3,100,239.094355
-657944.56,100,240.203943
-657774.55,100,241.302618
-658189.08,100,242.383812
-658004.29,100,243.49942
-657694.05,100,244.588615
-658161.86,100,245.669824
-657880.87,100,246.747985
-657937.77,100,247.836087
-658153.22,100,248.911482
-657946.87,100,249.990895
-658035.6,100,251.096145
-658008.31,100,252.240146
-657934.69,100,253.571895
-657955.59,100,254.762426
-657838.47,100,255.889085
-658174.02,100,257.014984
-657963.25,100,258.137647
-657975.0,100,259.274124
-658049.25,100,260.373681
-658008.33,100,261.453722
-658113.61,100,262.517182
-658221.93,100,263.582112
-658035.63,100,264.668486
-658013.96,100,265.783707
-657928.05,100,266.856592
-657944.33,100,267.937684
-657996.73,100,269.02182
-657862.79,100,270.128011
-657860.01,100,271.243244
-657900.42,100,272.367952
-658318.56,100,273.491916
-658175.25,100,274.568388
-658184.98,100,275.687985
-658018.23,100,276.813044
-657947.56,100,277.909804
-657829.91,100,279.017504
-552121.31,100,280.133572
-38214.99,100,281.254559
-38969.08,100,282.352854
-39197.72,100,283.46473
-44306.79,100,284.580865
-49131.87,100,285.156228
-49150.77,100,285.751315
-49555.26,100,286.338487
-49176.82,100,286.967648
-49642.68,100,287.586967
-40766.79,100,288.717689
-43029.24,100,289.82238
-40119.98,100,290.886928
-35796.9,100,291.958837
-36491.62,100,293.038017
-35918.53,100,294.110762
-39878.2,100,295.194954
-34888.33,100,296.261812
-34513.19,100,297.323312
-34828.49,100,298.39792
-35718.66,100,299.488362
-35845.6,100,300.562092
-33226.94,100,301.63163
-34253.83,100,302.702992
-38219.83,100,303.787842
-37838.29,100,304.865878
-24603.453,100,305.936876
-25185.434,100,307.015966
-32390.21,100,308.179303
-32079.65,100,309.266887
-32083.57,100,310.348174
-78808.544,100,311.426032
-92638.83,100,312.518611
-38292.91,100,313.602183
-35859.81,100,314.683573
-33872.614,100,315.757654
-27747.99,100,316.82884
-29301.869,100,317.939555
-176414.42,100,319.086859
-1042620.6,100,320.179463
-1115221.9,100,321.266187
-303101.58,100,322.354323
-184536.06,100,323.444583
-194768.77,100,324.52058
-986338.51,100,325.729207
-1356062.29,100,326.815204
-1366544.768,100,327.927072
-1236870.48,100,329.009778
-1117710.56,100,330.178371
-1117755.79,100,331.26342
-922663.6,100,332.486231
-20702.91,100,333.685824
173.36,100,334.920714
144.55,100,336.050045
171.13,100,337.178573
167.7,100,338.336236
-21283.12,100,339.493069
-21270.63,100,340.696489
-21283.34,100,341.797489
-21344.81,100,342.897746
-10504.53,100,343.466257
-9397.422,100,344.04816
-21287.23,100,344.636197
-10423.238,100,345.199919
-10211.124,100,345.762639
-10492.667,100,346.858258
-11710.96,100,347.987925
182.01,100,349.180029
152.42,100,350.344235
