#{"t_start": 1676415837.308414, "env_id": "NetworkManagement-v1"}
r,l,t
-1367333.207,100,0.608688
-1578787.211,100,2.017457
-1518321.398,100,3.362059
-714913.027,100,4.705184
-715163.001,100,6.046558
-68324.23,100,7.37422
-107772.617,100,8.713368
-73967.318,100,10.058721
-729610.11,100,11.4001
-727468.86,100,12.744697
-726999.9,100,14.088138
-726525.18,100,15.429527
-816353.76,100,16.771491
-2049400.17,100,18.112712
-2036963.21,100,19.454204
-2049140.418,100,20.788705
-2061956.64,100,22.115356
-2055075.73,100,23.457892
-2062030.78,100,24.800965
-2062424.06,100,26.142677
-2062440.61,100,27.497222
-1737468.39,100,28.842129
-1373513.8,100,30.210385
-1373511.66,100,31.553243
-1373508.26,100,32.893539
-1373516.36,100,34.237307
-1373521.89,100,35.580642
-1373513.65,100,36.92441
-1373414.0,100,38.26803
-1372512.76,100,39.596918
-1372478.48,100,40.926553
-1372479.9,100,42.272002
-1372477.51,100,43.618695
-1372470.1,100,44.967731
-1372487.61,100,46.31235
-1372493.94,100,47.655608
-1372491.74,100,49.003638
-1372496.38,100,50.348605
-1372488.28,100,51.691583
-1372486.74,100,53.037265
-1372485.52,100,54.382478
-1372497.46,100,55.725454
-1372511.41,100,57.067978
-1372494.06,100,58.388665
-1372477.08,100,59.726603
-1372502.72,100,61.072645
-1372482.08,100,62.411975
-1372500.51,100,63.755908
-1582394.36,100,65.10325
-2029064.14,100,66.448505
-2029095.1,100,67.022071
-2029082.22,100,67.594513
-2029072.36,100,68.165841
-2029113.71,100,68.736785
-2029074.96,100,69.310923
-2029066.32,100,70.701057
-2029079.52,100,72.047664
-2029074.1,100,73.369433
-2029065.52,100,74.699536
-2029076.68,100,76.04954
-2029072.12,100,77.399609
-2029076.66,100,78.743103
-2029080.86,100,80.116453
-2029078.93,100,81.543817
-2029065.28,100,82.922772
-2029071.5,100,84.417125
-2029057.45,100,85.897085
-2029082.04,100,87.339259
-2029071.92,100,88.772198
-2029073.71,100,90.106691
-2029085.03,100,91.45365
-2029092.17,100,92.8953
-2029076.17,100,94.419147
-2029104.55,100,95.877674
-2029107.18,100,97.30613
-2029070.77,100,98.691127
-2029074.3,100,100.026926
-2029063.19,100,101.361725
-2029085.67,100,102.701813
-2029080.11,100,104.135696
-2029071.28,100,105.630739
-2029082.3,100,107.059161
-2029069.92,100,108.521191
-2029074.8,100,109.949418
-2029072.91,100,111.359705
-2029079.46,100,112.799609
-2029087.03,100,114.196907
-2029058.93,100,115.634282
-2029074.12,100,117.11518
-2029075.4,100,118.541304
-2029084.83,100,120.038492
-2029070.35,100,121.394137
-2029082.93,100,122.848207
-2029092.02,100,124.207892
-2029105.01,100,125.55534
-2029076.64,100,126.901476
-2029078.42,100,128.273095
-2029068.62,100,129.651233
-2029087.62,100,131.075076
-2029098.84,100,132.422381
-2029071.66,100,133.749845
-2029085.57,100,135.098263
-2029076.23,100,136.442297
-2029090.12,100,137.784858
-2029072.17,100,139.123068
-2029066.65,100,139.696754
-2029069.46,100,140.266375
-2029078.79,100,140.836247
-2029084.74,100,141.40472
-2029059.72,100,141.973371
-2029087.8,100,143.34586
-2029082.39,100,144.689462
-2029075.17,100,146.0625
-2029062.94,100,147.400503
-2029065.57,100,148.732629
-2029073.13,100,150.062932
-2029080.45,100,151.403675
-2029064.56,100,152.748191
-2029068.04,100,154.091262
-2029093.0,100,155.434767
-2029087.47,100,156.78044
-2029093.48,100,158.119385
-2029077.66,100,159.453266
-2029091.28,100,160.781152
-2029090.08,100,162.098221
-2029082.39,100,163.424413
-2029054.6,100,164.750802
-2029077.03,100,166.092452
-2029083.56,100,167.434064
-2029075.52,100,168.79693
-2029067.61,100,170.143531
-2029062.39,100,171.487368
-2029070.56,100,172.824583
-2029070.68,100,174.161711
-2029061.5,100,175.565654
-2029071.41,100,176.991405
-2029089.96,100,178.322856
-2029086.52,100,179.642183
-2029081.68,100,180.988148
-2029068.72,100,182.342834
-2029069.77,100,183.682835
-2029069.83,100,185.027277
-2029064.27,100,186.38159
-2029079.83,100,187.721402
-2029073.83,100,189.052299
-2029075.07,100,190.389933
-2029092.8,100,191.721919
-2029073.16,100,193.037995
-2029072.56,100,194.349773
-2029067.36,100,195.684128
-2029049.6,100,197.019469
-2029075.57,100,198.356051
-2029068.64,100,199.692868
-2029064.88,100,201.027982
-2029070.21,100,202.363505
-2029084.95,100,203.696349
-2029065.26,100,205.033474
-2029093.21,100,206.368844
-2029075.58,100,207.695717
-2029076.54,100,209.012794
-2029093.65,100,209.583401
-2029081.62,100,210.151905
-2029065.64,100,210.721136
-2029077.28,100,211.289207
-2029090.03,100,211.85745
-2029070.39,100,213.214814
-2029064.23,100,214.554197
-2029081.81,100,215.891659
-2029061.95,100,217.234802
-2029087.1,100,218.567653
-2029079.32,100,219.916955
-2029074.79,100,221.269394
-2029076.78,100,222.602248
-2029091.85,100,223.929673
-2029114.73,100,225.268811
-2029071.76,100,226.610368
-2029091.71,100,227.951879
-2029089.09,100,229.288485
-2029088.71,100,230.634406
-2029099.14,100,231.973045
-2029072.16,100,233.310411
-2029075.47,100,234.649421
-2029077.57,100,235.983724
-2029075.84,100,237.298763
-2029087.3,100,238.627047
-2029088.3,100,239.963755
-2029084.98,100,241.301496
-2029077.63,100,242.636229
-2029091.32,100,243.973509
-2029072.15,100,245.312129
-2029073.19,100,246.65761
-2029085.75,100,247.989543
-2029076.11,100,249.328772
-2029077.77,100,250.6671
-2029083.52,100,251.990197
-2029076.33,100,253.320515
-2029070.97,100,254.66663
-2029068.6,100,256.004959
-2029097.14,100,257.350558
-2029069.96,100,258.706311
-2029057.75,100,260.053312
-2029068.24,100,261.394262
-2029098.65,100,262.734102
-2029097.15,100,264.070425
-2029073.57,100,265.40015
-2029075.65,100,266.711871
-2029090.99,100,268.042815
-2029094.23,100,269.394082
-2029076.61,100,270.741246
-2029089.75,100,272.086216
-2029099.06,100,273.434141
-2029087.5,100,274.777896
-2029061.35,100,276.128736
-2029094.44,100,277.466137
-2029070.98,100,278.819376
-2029086.48,100,279.391265
-2029086.11,100,279.958236
-2029077.02,100,280.526235
-2029066.26,100,281.093396
-2029089.72,100,281.65947
-2029071.86,100,282.992743
-2029059.23,100,284.338796
-2029075.59,100,285.677709
-2029086.49,100,287.015978
-2029082.8,100,288.358394
-2029068.03,100,289.696427
-2029086.43,100,291.034299
-2029082.15,100,292.371403
-2029090.7,100,293.673639
-2029075.04,100,295.30439
