#{"t_start": 1676302408.6710882, "env_id": "NetworkManagement-v1"}
r,l,t
-317.823,30,0.181018
-341.168,30,0.361333
-335.589,30,0.540507
-324.374,30,0.734324
-327.364,30,0.906225
-340.928,30,1.077855
-328.348,30,1.272179
-331.18,30,1.445042
-340.071,30,1.621707
-320.346,30,1.794434
-322.554,30,1.98789
-314.494,30,2.160219
-322.103,30,2.331696
-314.188,30,2.523572
-316.628,30,2.695361
-330.655,30,2.868862
-330.426,30,3.061493
-334.22,30,3.23375
-356.721,30,3.406943
-325.088,30,3.579049
-340.409,30,3.771258
-343.536,30,3.943001
-312.335,30,4.114986
-337.003,30,4.307528
-340.701,30,4.47926
-336.19,30,4.650672
-317.06,30,4.843556
-326.005,30,5.01584
-324.776,30,5.18743
-325.61,30,5.359448
-320.461,30,5.552653
-331.606,30,5.724924
-335.972,30,5.897307
-323.652,30,6.090016
-312.464,30,6.265449
-319.718,30,6.43935
-312.916,30,6.631735
-324.499,30,6.803705
-302.641,30,6.975675
-321.639,30,7.148235
-331.507,30,7.339631
-331.772,30,7.511297
-338.678,30,7.683596
-345.473,30,7.875669
-342.941,30,8.049056
-359.726,30,8.220898
-331.719,30,8.413071
-335.667,30,8.585274
-348.723,30,8.75665
-351.367,30,8.927966
-347.99,30,9.119276
-349.839,30,9.291445
-348.628,30,9.463251
-334.099,30,9.655455
-346.02,30,9.827003
-309.523,30,9.999617
-350.227,30,10.190698
-355.672,30,10.36306
-345.081,30,10.534055
-354.842,30,10.705224
-358.917,30,10.896675
-361.894,30,11.067514
-367.047,30,11.238365
-365.345,30,11.429536
-366.943,30,11.60287
-346.283,30,11.774746
-359.083,30,11.966149
-363.939,30,12.137289
-359.68,30,12.308238
-360.682,30,12.480202
-355.978,30,12.671996
-357.058,30,12.843247
-360.129,30,13.015223
-356.974,30,13.205605
-345.817,30,13.376144
-338.676,30,13.547368
-344.934,30,13.737695
-375.133,30,13.909307
-360.446,30,14.079684
-369.258,30,14.249968
-366.362,30,14.440266
-379.283,30,14.61136
-359.928,30,14.781707
-343.565,30,14.972108
-359.532,30,15.142274
-363.218,30,15.312784
-352.378,30,15.50338
-364.365,30,15.675257
-357.127,30,15.845768
-339.34,30,16.015586
-359.02,30,16.207314
-365.496,30,16.379255
-351.853,30,16.550431
-338.761,30,16.743128
-369.412,30,16.914502
-337.999,30,17.085723
