#{"t_start": 1676499012.198045, "env_id": "NetworkManagement-v1"}
r,l,t
-336.023,30,1.468451
-328.592,30,2.571605
-336.238,30,3.609904
-313.67,30,4.618949
-336.995,30,5.650865
-335.388,30,6.690941
-343.397,30,7.735574
-322.245,30,8.821626
-333.719,30,9.872115
-338.692,30,10.899252
-327.483,30,12.184228
-352.679,30,13.371176
-338.465,30,14.508242
-319.551,30,15.799363
-334.409,30,16.930851
-333.484,30,18.204996
-312.257,30,19.561318
-337.212,30,20.639051
-341.31,30,21.66446
-331.632,30,22.675975
-336.534,30,23.806142
-332.011,30,24.944087
-315.868,30,25.990964
-335.417,30,27.039446
-346.184,30,28.07788
-324.52,30,29.113907
-323.51,30,30.299304
-342.669,30,31.458698
-321.652,30,32.60116
-332.236,30,33.80826
-347.483,30,35.447205
-324.463,30,36.653496
-310.242,30,37.928565
-337.814,30,39.353653
-347.216,30,40.637879
-334.861,30,41.977726
-328.419,30,43.389659
-329.929,30,44.428665
-321.014,30,45.40124
-317.569,30,46.89918
-331.476,30,48.142833
-316.784,30,49.622173
-333.826,30,51.994534
-333.042,30,53.725176
-324.139,30,55.334582
-353.335,30,57.441523
-311.167,30,59.072112
-313.99,30,60.67219
-347.385,30,61.972147
-335.247,30,64.125464
-334.199,30,65.608025
-342.361,30,66.999112
-329.419,30,68.400762
-333.578,30,70.203265
-312.282,30,71.937922
-331.349,30,73.078784
-328.224,30,74.470828
-324.55,30,75.813553
-308.68,30,77.048723
-320.056,30,78.394873
-337.262,30,79.525076
-340.521,30,80.954815
-331.696,30,82.15495
-340.882,30,83.438049
-309.85,30,84.657334
-348.718,30,86.476408
-319.315,30,87.803549
-348.911,30,89.223151
-304.523,30,92.789757
-316.014,30,94.177147
-327.384,30,95.363353
-334.27,30,97.239493
-331.679,30,98.632594
-333.043,30,100.096109
-333.24,30,101.674438
-327.058,30,103.414981
-327.583,30,104.847866
-331.655,30,105.970565
-330.975,30,107.189102
-334.395,30,108.979765
-345.143,30,110.295243
-326.412,30,111.475734
-325.731,30,112.578631
-318.796,30,113.742381
-322.945,30,115.169459
-342.86,30,116.682042
-342.45,30,118.090931
-345.861,30,119.415635
-341.1,30,120.975875
-327.333,30,122.230045
-339.166,30,123.735055
-337.908,30,124.930885
-341.826,30,126.026881
-324.225,30,127.395741
-343.763,30,128.706448
-328.137,30,130.0872
-329.903,30,131.185158
-310.288,30,132.630945
-346.483,30,133.888529
-339.965,30,135.144791
-346.591,30,136.475949
-330.599,30,137.483688
-346.747,30,138.503333
-341.49,30,139.572771
-322.694,30,140.974302
-333.445,30,142.135792
-330.027,30,143.358566
-336.096,30,144.896818
-341.837,30,146.229645
-325.814,30,147.423699
-307.92,30,148.544978
-348.843,30,149.657946
-331.252,30,150.826896
-334.997,30,152.055455
-334.465,30,153.20447
-325.988,30,154.521568
-340.985,30,155.911166
-328.539,30,157.048896
-324.397,30,158.454593
-320.154,30,159.947886
-328.338,30,161.177896
-331.175,30,162.511084
-326.98,30,163.594612
-321.751,30,164.671303
-339.158,30,165.720948
-321.279,30,166.731536
-321.248,30,167.741762
-344.956,30,168.831251
-301.628,30,169.906535
-304.21,30,171.051661
-347.761,30,172.087468
-334.928,30,173.227542
-309.661,30,174.310012
-321.06,30,175.36789
-315.301,30,176.383573
-323.567,30,177.459366
-341.829,30,180.709969
-337.361,30,181.710054
-321.156,30,182.79927
-316.764,30,184.071183
-329.12,30,185.266225
-344.022,30,186.623155
-328.34,30,187.876308
-327.939,30,189.373681
-317.805,30,190.486293
-330.948,30,191.843339
-331.88,30,192.959342
-350.667,30,194.427251
-318.133,30,195.627866
-345.626,30,196.822951
-334.535,30,198.158202
-331.159,30,199.227309
-333.027,30,200.280936
-299.513,30,201.411412
-336.512,30,202.465131
-326.76,30,203.493298
-332.777,30,204.616443
-340.382,30,205.617245
-320.718,30,206.728959
-343.631,30,207.811926
-324.578,30,208.930648
-347.569,30,210.145822
-334.431,30,211.361812
-331.761,30,212.636586
-336.214,30,213.646994
-331.07,30,214.664512
-314.417,30,215.676108
-335.682,30,216.967173
-328.008,30,218.129869
-315.53,30,219.606252
-349.93,30,220.789575
-336.641,30,222.457072
-339.088,30,223.720705
-329.767,30,224.905635
-337.724,30,226.032226
-350.479,30,227.151932
-337.835,30,228.489058
-330.713,30,229.801463
-323.13,30,230.929672
-327.419,30,232.13753
-341.339,30,233.392238
-344.431,30,235.07169
-348.955,30,236.2186
