#{"t_start": 1676152638.2391381, "env_id": "NetworkManagement-v1"}
r,l,t
-47931.257,30,0.195606
-63843.803,30,0.386461
-56193.425,30,0.591805
-56268.424,30,1.037842
-59668.552,30,1.545635
-85493.182,30,2.029177
-83960.784,30,2.55843
-78187.72,30,3.035117
-76906.544,30,3.532833
-76635.148,30,4.017938
-76128.153,30,5.536441
-71553.101,30,6.006434
-58710.7,30,6.502212
-45569.969,30,7.002483
-39985.423,30,7.458593
-43542.378,30,7.930712
-42752.363,30,8.417679
-34391.81,30,8.949586
-7996.966,30,9.44746
-27532.371,30,9.957376
-44959.496,30,11.500051
-42374.99,30,11.995497
-22532.282,30,12.444927
-14859.316,30,12.92994
-20363.85,30,13.380291
-3238.387,30,13.88733
-2294.852,30,14.334491
-8520.687,30,14.817681
-30652.37,30,15.271061
-20431.82,30,15.765871
-1277.012,30,17.354923
-3943.837,30,17.853587
-9024.172,30,18.361603
-22316.243,30,18.835175
-19004.268,30,19.305593
-2700.998,30,19.821051
-11841.348,30,20.338428
-1730.104,30,20.900725
-2356.305,30,21.471502
-2394.562,30,21.954555
-5387.238,30,23.503878
-4647.154,30,24.048658
-4855.162,30,24.570896
-1003.079,30,25.068969
-3581.227,30,25.578201
-7352.448,30,26.057823
-1978.217,30,26.597039
-1429.335,30,27.057543
-1122.988,30,27.545161
-2419.816,30,28.000811
-3286.189,30,29.593978
-3907.539,30,30.063053
-1527.49,30,30.559873
-1046.14,30,31.020242
-1864.707,30,31.539944
-2190.66,30,32.006823
-2714.506,30,32.502305
-3131.152,30,32.960527
-3415.58,30,33.442863
-7047.284,30,33.895136
-5146.908,30,35.443185
-3401.205,30,35.905615
-4142.071,30,36.401986
-5595.707,30,36.857545
-5848.814,30,37.331146
-8172.098,30,37.828895
-9184.108,30,38.301855
-8539.977,30,38.792499
-8678.873,30,39.245401
-10624.364,30,39.759096
-13305.2,30,41.27727
-15507.681,30,41.737877
-13494.1,30,42.221237
-7004.461,30,42.677893
-11530.697,30,43.138627
-12152.534,30,43.629076
-15434.927,30,44.086953
-11793.554,30,44.588764
-9535.339,30,45.053926
-10029.391,30,45.57536
-7718.03,30,47.087097
-6378.602,30,47.549358
-8644.425,30,48.030933
-11995.107,30,48.493952
-9377.834,30,48.95087
-8238.85,30,49.451507
-8628.515,30,49.911921
-8562.934,30,50.408126
-8192.355,30,50.875957
-7381.877,30,51.367913
-8576.73,30,52.938124
-6915.031,30,53.467785
-7604.135,30,53.931883
-6282.972,30,54.453456
-9562.519,30,54.890436
-5722.281,30,55.375201
-7119.888,30,55.809432
-5859.587,30,56.280793
-6914.557,30,56.716683
-4332.126,30,57.166526
-6359.222,30,58.644526
-4645.43,30,59.127969
-5242.374,30,59.668224
-7051.825,30,60.139509
-6319.939,30,60.601587
-3531.891,30,61.062472
-5599.863,30,61.523916
-5234.745,30,61.967587
-5979.813,30,62.436933
-5533.418,30,62.871192
-4778.995,30,64.273153
-5320.745,30,64.727754
-4518.12,30,65.188048
-3826.415,30,65.624416
-5371.171,30,66.060868
-4436.334,30,66.52379
-4373.763,30,66.957856
-4697.213,30,67.400656
-4435.43,30,67.858857
-4217.603,30,68.294066
-4518.119,30,69.75048
-4099.169,30,70.186656
-4612.736,30,70.652699
-4505.728,30,71.137751
-4069.056,30,71.598989
-4015.297,30,72.050774
-3213.927,30,72.526145
-3282.669,30,72.965131
-2777.679,30,73.403323
-2991.156,30,73.879249
-3422.237,30,75.327898
-2904.423,30,75.77271
-3096.5,30,76.222564
-3047.12,30,76.669678
-3387.188,30,77.10574
-3310.575,30,77.543407
-2348.024,30,78.009995
-3347.284,30,78.456369
-2146.597,30,78.894266
-3295.918,30,79.391748
-2747.708,30,80.846944
-3098.999,30,81.297644
-2978.287,30,81.739915
-2171.009,30,82.214987
-2173.699,30,82.667717
-2732.57,30,83.129812
-4609.348,30,83.567706
-3561.181,30,84.038391
-2786.426,30,84.478394
-3760.68,30,84.941839
-2452.233,30,86.431946
-2487.108,30,86.881502
-2231.063,30,87.327047
-1965.225,30,87.825825
-1652.451,30,88.26547
-3092.564,30,88.71731
-2064.301,30,89.174009
-2384.123,30,89.666097
-4082.725,30,90.120298
-2597.979,30,90.587307
-3673.272,30,92.034881
-2937.089,30,92.508298
-2775.24,30,92.97123
-2939.7,30,93.42037
-2530.416,30,93.872107
-4445.286,30,94.392194
-2840.112,30,94.883368
-2748.994,30,95.400274
-2683.689,30,95.908122
-3687.138,30,96.489012
-2302.895,30,98.090946
-2962.247,30,98.59231
-1942.07,30,99.057876
-4475.433,30,99.53494
-3143.765,30,100.031004
-3188.779,30,100.554447
-1739.994,30,101.096568
-3817.922,30,101.596002
-3203.065,30,102.124542
-3276.087,30,102.615959
-3567.852,30,104.222811
-2710.287,30,104.696797
-3014.274,30,105.237408
-4175.556,30,105.866358
-2870.785,30,106.45126
-4502.252,30,106.994743
-2932.153,30,107.465064
-2972.285,30,107.948511
-2727.174,30,108.438271
-2817.737,30,109.060219
-2916.986,30,110.597161
-3079.987,30,111.08389
-3765.361,30,111.562864
-2722.461,30,112.074535
-4182.293,30,112.585161
-4040.718,30,113.073699
-3253.207,30,113.63273
-3375.763,30,114.16083
-4318.778,30,114.700924
-5165.173,30,115.198097
-3599.932,30,116.811701
-5566.658,30,117.328908
-3884.466,30,117.809393
-4096.797,30,118.341718
-2758.497,30,118.862741
-3599.75,30,119.405929
-3742.695,30,119.916378
-4085.418,30,120.397165
-5067.373,30,120.892566
-6333.13,30,121.372396
-4191.591,30,122.993726
-4584.165,30,123.522331
-3451.898,30,123.993334
-4243.012,30,124.454978
-3970.108,30,124.943666
-4113.654,30,125.412359
-4543.604,30,125.922662
-2936.559,30,126.422246
-4381.046,30,126.963734
-4275.335,30,127.499245
-4939.919,30,129.068562
-4404.873,30,129.615486
-4075.109,30,130.13989
-3947.136,30,130.618605
-3689.135,30,131.123677
-4845.807,30,131.608443
-3788.52,30,132.099749
-5311.724,30,132.684424
-5106.076,30,133.259667
-5683.076,30,133.785292
-5123.951,30,135.355144
-4368.303,30,135.834557
-4687.634,30,136.337063
-4564.865,30,136.871404
-5893.867,30,137.367286
-5920.765,30,137.9499
-4954.778,30,138.495699
-5397.393,30,139.083567
-4734.407,30,139.576921
-4622.532,30,140.120243
-4816.785,30,141.777257
-4560.734,30,142.35293
-4613.314,30,142.840509
-4439.54,30,143.331261
-5176.53,30,143.793725
-4775.195,30,144.329575
-5404.677,30,144.897485
-4699.934,30,145.49786
-5111.398,30,146.074513
-4751.855,30,146.552981
-6075.981,30,148.216134
-5394.124,30,148.742245
-5443.806,30,149.260077
-4562.345,30,149.894621
-4869.176,30,150.503431
-5717.621,30,151.053328
-5364.242,30,151.632698
-5667.109,30,152.260573
-6686.441,30,152.783572
-5677.458,30,153.378689
-5987.364,30,154.957692
-6309.199,30,155.4535
-6281.436,30,156.065472
-5096.979,30,156.575803
-4655.717,30,157.073129
-4672.667,30,157.596577
-5689.711,30,158.182537
-5400.833,30,158.707788
-6392.348,30,159.3285
-6278.092,30,159.831644
-5902.983,30,161.51121
-5097.998,30,162.040264
-5633.669,30,162.593405
-4691.519,30,163.09264
-4661.185,30,163.655662
-6647.519,30,164.212864
-5616.634,30,164.750797
-6329.816,30,165.293035
-6027.38,30,165.84379
-6339.237,30,166.321307
-5497.152,30,167.885311
-5944.349,30,168.379537
-5745.631,30,168.936234
-5654.868,30,169.42936
-5603.937,30,169.991193
-7215.607,30,170.548661
-5375.85,30,171.021662
-6445.43,30,171.489769
-7374.103,30,172.032239
-5917.638,30,172.538906
-6825.023,30,174.186252
-5888.62,30,174.662599
-6296.334,30,175.148301
-5913.723,30,175.623923
-6569.671,30,176.141654
-6190.902,30,176.646347
-6005.574,30,177.170287
-6721.373,30,177.69019
-5995.667,30,178.236932
-5842.017,30,178.81802
-6023.044,30,180.500662
-6798.517,30,181.064651
-6768.661,30,181.685946
-6692.506,30,182.186052
-6694.478,30,182.777371
-6021.684,30,183.268404
-6258.621,30,183.776383
-6800.442,30,184.288311
-5965.426,30,184.804646
-7133.771,30,185.287243
-6553.077,30,186.826019
-6493.369,30,187.291868
-5533.284,30,187.777926
-6544.117,30,188.242871
-7376.133,30,188.718498
-4500.127,30,189.231876
-5818.228,30,189.81034
-6356.776,30,190.294177
-5187.567,30,190.824784
-6433.58,30,191.453568
-5110.199,30,192.998114
-5820.793,30,193.472424
-4984.335,30,193.967723
-6607.34,30,194.422982
-6177.136,30,194.888222
-5828.8,30,195.383444
-6269.008,30,195.843798
-6278.018,30,196.346834
-6462.148,30,196.826311
-6168.95,30,197.291922
-5953.197,30,198.849833
-5978.093,30,199.338699
-6577.882,30,199.873481
-6164.695,30,200.369824
-6153.806,30,200.921055
-5609.51,30,201.40356
-5311.517,30,201.891727
-6857.091,30,202.401574
-6258.124,30,202.912566
-6679.918,30,203.410169
-5505.487,30,204.94989
-6565.813,30,205.431145
-6639.532,30,205.950731
-5902.156,30,206.438246
-5837.841,30,206.963777
-6379.987,30,207.429782
-5151.869,30,207.927333
-5396.625,30,208.412348
-5146.674,30,208.914493
-6104.426,30,209.389374
-6242.229,30,210.958395
-5105.995,30,211.418159
-5557.953,30,211.865781
-6169.759,30,212.374715
-6488.841,30,212.833801
-6800.76,30,213.332738
-5335.08,30,213.792007
-5153.017,30,214.274684
-6332.072,30,214.740812
-5707.49,30,215.225422
-4965.272,30,216.748686
-5739.444,30,217.201704
-6128.941,30,217.660805
-6809.245,30,218.144759
-5212.671,30,218.590388
-6681.035,30,219.06525
-6559.096,30,219.511361
-6225.968,30,219.961565
-6653.456,30,220.464326
-5295.684,30,220.963363
-5437.347,30,222.436506
-5986.715,30,222.883288
-5792.55,30,223.359785
-4874.361,30,223.816362
-5777.913,30,224.272389
-6023.412,30,224.713534
-5780.143,30,225.183611
-6008.425,30,225.635759
-5692.114,30,226.106556
-5429.882,30,226.582296
-5585.164,30,228.067402
-5534.882,30,228.529082
-6640.669,30,228.979604
-5969.912,30,229.468527
-5361.506,30,229.91892
-5967.153,30,230.383331
-6398.406,30,230.83446
-5491.956,30,231.298092
-6165.582,30,231.739111
-6627.12,30,232.183287
-5013.076,30,233.68301
-6492.993,30,234.144248
-5383.271,30,234.628309
-6637.979,30,235.075365
-6915.973,30,235.534977
-5280.193,30,235.996524
-5865.798,30,236.478051
-6592.004,30,236.950444
-6406.2,30,237.410925
-5503.28,30,237.854636
-4321.408,30,239.375224
-4421.739,30,239.809502
-4957.572,30,240.247042
-7589.702,30,240.712803
-5278.727,30,241.153122
-5977.119,30,241.627021
-5757.781,30,242.063933
-4599.006,30,242.512683
-5536.414,30,243.003063
-6478.899,30,243.469384
-4575.739,30,244.963395
-5457.816,30,245.419232
-5835.096,30,245.911409
-5166.176,30,246.375222
-5858.378,30,246.839906
-6046.075,30,247.327512
-5948.954,30,247.785048
-6295.678,30,248.267024
-6001.292,30,248.741052
-6481.836,30,249.242553
-5778.007,30,250.726928
-5787.952,30,251.197098
-5289.447,30,251.651295
-6282.762,30,252.130025
-6624.088,30,252.582763
-6539.932,30,253.066036
-5757.053,30,253.52241
-5619.498,30,253.998223
-6917.733,30,254.442127
-6417.938,30,254.915163
-5836.825,30,256.381667
-5471.675,30,256.834414
-4580.873,30,257.26342
-6929.432,30,257.714275
-6463.364,30,258.162322
-5055.901,30,258.636125
-6564.658,30,259.105906
-6993.763,30,259.686812
-5792.22,30,260.382443
-7044.892,30,260.95451
-6763.183,30,262.469317
-6071.373,30,262.94306
-6231.628,30,263.393015
-6289.79,30,263.892849
-7299.754,30,264.404936
-6360.826,30,264.974524
-5868.142,30,265.502842
-5962.71,30,265.999078
-7885.048,30,266.429476
-5524.834,30,266.881042
-7056.789,30,268.395111
-5562.416,30,268.895911
-7386.892,30,269.349777
-6531.154,30,269.811388
-6267.982,30,270.339912
-7207.899,30,270.834107
-6837.037,30,271.388354
-7629.775,30,271.86091
-6741.313,30,272.457268
-7631.127,30,272.987754
-8096.128,30,274.594968
-7538.234,30,275.040049
-8197.288,30,275.571257
-6849.822,30,276.066595
-6388.032,30,276.533976
-6958.66,30,276.999583
-7547.191,30,277.444174
-6667.512,30,277.98677
-6465.028,30,278.495394
-6869.644,30,279.001872
-7264.955,30,280.559438
-8146.196,30,281.061245
-7113.286,30,281.539579
-7749.1,30,282.011631
-6166.856,30,282.495542
-7874.186,30,282.991822
-6875.034,30,283.463368
-7584.706,30,283.933672
-7858.728,30,284.391263
-7081.717,30,284.862925
-7035.564,30,286.402568
-7431.576,30,286.916912
-6839.099,30,287.444934
-6839.538,30,287.926057
-7446.049,30,288.467597
-7086.202,30,288.942795
-7142.918,30,289.458628
-8153.7,30,289.942421
-7073.261,30,290.427135
