#{"t_start": 1676041311.824938, "env_id": "InvManagement-v1"}
r,l,t
-878.603166,30,0.012276
-812.251728,30,0.016828
-999.099767,30,0.021451
-673.253518,30,0.026681
-122.495012,30,0.031574
305.586452,30,0.036042
224.6902,30,0.040478
79.497423,30,0.044729
212.157713,30,0.048907
40.629311,30,0.053216
236.140159,30,0.080179
89.788159,30,0.084372
-644.175274,30,0.088629
-339.070254,30,0.092746
-910.172521,30,0.096852
176.016051,30,0.101203
364.69004,30,0.107534
205.121615,30,0.11804
395.018811,30,0.124687
370.596695,30,0.129688
173.188336,30,0.163957
-294.237376,30,0.168451
80.258353,30,0.172832
213.898102,30,0.177609
259.159815,30,0.182114
-533.919029,30,0.186735
269.072021,30,0.194473
-147.26247,30,0.201178
229.374539,30,0.206118
295.253341,30,0.210436
296.031914,30,0.240931
168.974632,30,0.246001
250.092803,30,0.252695
-685.547476,30,0.257176
343.169981,30,0.261928
113.1493,30,0.266926
-20.159816,30,0.271958
254.154694,30,0.278339
207.133367,30,0.284186
204.91908,30,0.288662
265.051234,30,0.32074
49.387836,30,0.328166
-159.622862,30,0.332588
346.808205,30,0.336898
52.570138,30,0.341266
-784.948411,30,0.345588
132.213138,30,0.349746
343.355444,30,0.353898
219.540725,30,0.36007
131.156115,30,0.364362
216.343796,30,0.393141
-285.318709,30,0.397549
258.70671,30,0.401938
35.215279,30,0.406164
-17.909094,30,0.410279
-78.997078,30,0.414404
-489.265942,30,0.418545
-661.715216,30,0.422926
276.785528,30,0.431053
370.281233,30,0.436014
325.528273,30,0.467709
-21.083785,30,0.473345
253.741339,30,0.477701
-216.981545,30,0.482851
-247.128291,30,0.489987
354.276651,30,0.494534
314.597249,30,0.500411
294.386882,30,0.505486
319.551745,30,0.510029
-156.219089,30,0.516038
-861.710883,30,0.551606
348.653835,30,0.557878
341.213758,30,0.563185
-1409.173269,30,0.568439
358.372063,30,0.573094
-32.672169,30,0.577656
261.379874,30,0.582397
-96.086564,30,0.586947
-49.352136,30,0.592136
-587.056306,30,0.59696
325.842581,30,0.62587
-99.29101,30,0.630481
319.455532,30,0.638591
235.320702,30,0.643942
44.852392,30,0.648462
266.367044,30,0.653083
159.784966,30,0.65797
285.656924,30,0.66362
215.985353,30,0.669045
380.561123,30,0.673512
176.693987,30,0.703231
323.726829,30,0.709606
288.508313,30,0.714695
259.985393,30,0.719129
-403.469676,30,0.723489
288.566894,30,0.727732
323.735137,30,0.733649
303.118219,30,0.738446
335.194656,30,0.746001
281.338461,30,0.751316
324.580213,30,0.781084
-33.222641,30,0.786692
176.924687,30,0.791938
335.470611,30,0.79868
-109.067072,30,0.805659
362.432411,30,0.813426
328.922867,30,0.819263
68.072136,30,0.825068
142.266861,30,0.833374
261.888659,30,0.840294
326.609321,30,0.870671
-178.092714,30,0.875509
343.286296,30,0.88196
252.241431,30,0.886238
313.801055,30,0.891242
327.37824,30,0.895562
387.374101,30,0.900229
