#{"t_start": 1676041146.838124, "env_id": "InvManagement-v1"}
r,l,t
-248.724684,30,0.015752
-268.5892,30,0.022668
-255.520903,30,0.028859
-258.681423,30,0.036057
-265.952918,30,0.042701
-256.195515,30,0.048683
-249.985505,30,0.055311
-264.782782,30,0.061847
-274.195609,30,0.068037
-258.726606,30,0.074114
-258.562435,30,0.11068
-254.022691,30,0.117042
-264.828621,30,0.123508
-279.64749,30,0.129701
-266.507959,30,0.136237
-272.935127,30,0.142466
-266.495531,30,0.148652
-268.103667,30,0.154812
-249.070896,30,0.161505
-263.81161,30,0.16811
-263.045002,30,0.20072
-254.949676,30,0.206773
-257.177801,30,0.216127
-279.510403,30,0.22249
-267.252012,30,0.228673
-277.547545,30,0.235112
-270.18114,30,0.241075
-266.366285,30,0.247731
-272.804269,30,0.253982
-272.208359,30,0.260568
-263.487697,30,0.292279
-271.377438,30,0.29845
-265.886051,30,0.304891
-258.453846,30,0.311048
-270.507123,30,0.317141
-268.241593,30,0.325991
-267.757554,30,0.332199
-267.660911,30,0.338617
-257.30884,30,0.344777
-278.976739,30,0.351221
-276.457676,30,0.38316
-263.856699,30,0.389964
-266.319646,30,0.396017
-264.998328,30,0.402259
-256.444446,30,0.408702
-267.076159,30,0.414694
-259.973752,30,0.420576
-259.047698,30,0.42941
-278.575602,30,0.435897
-266.217882,30,0.442292
-267.876754,30,0.474118
-268.222682,30,0.480743
-275.488795,30,0.486951
-260.905446,30,0.493256
-257.301595,30,0.499224
-253.975773,30,0.505726
-270.963333,30,0.51188
-268.058725,30,0.518145
-273.173319,30,0.524235
-258.132218,30,0.530327
-263.612655,30,0.564584
-270.462541,30,0.571211
-262.732262,30,0.577486
-270.787853,30,0.583924
-270.571403,30,0.590284
-269.328564,30,0.59646
-270.777344,30,0.602641
-270.920048,30,0.609185
-262.238971,30,1.091918
-253.203493,30,1.098483
-258.607471,30,1.130413
-264.82768,30,1.136884
-260.634487,30,1.143141
-264.139341,30,1.149416
-264.049585,30,1.15589
-265.454881,30,1.162247
-272.561136,30,1.168487
-273.428998,30,1.17847
-262.501364,30,1.184758
-272.672066,30,1.190903
-264.652829,30,1.223547
-260.688052,30,1.229743
-250.878387,30,1.23603
-253.168163,30,1.242172
-252.27653,30,1.248306
-261.261383,30,1.254802
-271.637218,30,1.261246
-263.337255,30,1.267596
-261.134416,30,1.273866
-259.915483,30,1.282682
-250.068391,30,1.314945
-254.328401,30,1.321852
-264.82224,30,1.328291
-269.797152,30,1.334622
-251.211038,30,1.340843
-268.188,30,1.347266
-278.644304,30,1.353456
-269.565303,30,1.359957
-264.898977,30,1.366106
-261.115547,30,1.372264
-262.573954,30,1.407549
-253.160643,30,1.413779
-261.425472,30,1.420216
-255.297775,30,1.426385
-263.380832,30,1.432543
-280.304974,30,1.438686
-250.443128,30,1.445102
-259.150528,30,1.45151
-266.810969,30,1.457802
-256.751912,30,1.464478
-269.883945,30,1.499607
-280.957261,30,1.506321
-260.224699,30,1.512587
-266.768604,30,1.518736
-261.214476,30,1.525018
-238.806296,30,1.531302
-254.747445,30,1.537687
-254.496816,30,1.54414
-236.753855,30,1.550479
-273.869772,30,1.556682
-254.575447,30,1.588902
-260.516216,30,1.59556
-274.20032,30,1.604678
-264.597255,30,1.611149
-254.02665,30,1.617238
-267.3568,30,1.623516
-263.727642,30,1.629936
-267.361833,30,1.63616
-259.222784,30,1.642592
-246.013447,30,1.648766
-254.764268,30,1.680998
-265.292298,30,1.687132
-260.649425,30,1.69371
-266.814733,30,1.700464
-276.66374,30,1.709777
-274.266422,30,1.716354
-267.321165,30,2.145787
-259.168559,30,2.1521
-269.469842,30,2.158718
-263.436309,30,2.164756
-268.42088,30,2.19702
-259.891787,30,2.203355
-277.695338,30,2.209855
-259.781132,30,2.216134
-249.209383,30,2.222083
-248.753399,30,2.228406
-270.198252,30,2.237856
-261.371847,30,2.244408
-266.193908,30,2.251172
-246.452887,30,2.257611
-254.571137,30,2.291635
-259.840846,30,2.298592
-269.254563,30,2.306755
-262.769385,30,2.313353
-265.993452,30,2.32043
-262.361329,30,2.326692
-258.139314,30,2.335522
-271.256894,30,2.34235
-269.314126,30,2.348817
-268.278925,30,2.35511
-266.377235,30,2.387184
-259.560087,30,2.393615
-267.374755,30,2.399891
-263.927337,30,2.406223
-263.862825,30,2.412634
-263.688089,30,2.419129
-260.723777,30,2.425755
-240.754465,30,2.431827
-272.387824,30,2.441335
-281.182166,30,2.447473
-259.609811,30,2.479865
-240.496131,30,2.486383
-273.75668,30,2.495385
-267.360831,30,2.50183
-261.896213,30,2.507964
-257.26263,30,2.515281
-253.082128,30,2.521961
-256.014872,30,2.528636
-261.721491,30,2.535489
-263.571419,30,2.541974
-272.069219,30,2.579848
-271.09725,30,2.586105
-251.645224,30,2.592521
-270.799091,30,2.598535
-253.308705,30,2.605084
-280.863309,30,2.611981
-249.710992,30,2.618421
-262.536956,30,2.624684
-272.437781,30,2.630865
-272.843744,30,2.637338
-267.473331,30,2.671979
-258.693496,30,2.678507
-265.812674,30,2.684794
-274.393404,30,2.691394
-251.948148,30,2.69764
-264.350468,30,2.703866
-270.461117,30,2.710358
-253.974982,30,2.716678
-270.253934,30,2.723149
-263.087215,30,2.729295
-261.853384,30,2.763681
-262.15508,30,2.770502
-257.884198,30,2.776909
-263.268208,30,2.783219
-253.993413,30,3.214046
-269.360295,30,3.220508
-259.54076,30,3.227022
-266.289834,30,3.233036
-267.922943,30,3.239769
-252.651208,30,3.245985
-280.794469,30,3.280528
-260.066883,30,3.286627
-256.601571,30,3.293074
-260.610699,30,3.299153
-266.68543,30,3.305638
-255.61618,30,3.311865
-257.22976,30,3.318244
-274.772228,30,3.324445
-254.860695,30,3.330557
-267.586785,30,3.337139
-269.882136,30,3.369257
-265.605047,30,3.375781
-271.113151,30,3.385535
-262.086899,30,3.391532
-244.65314,30,3.398264
-254.128511,30,3.40499
-262.026363,30,3.411281
-267.80543,30,3.417595
-271.173512,30,3.423688
-262.459214,30,3.430269
-258.559208,30,3.462363
-267.871053,30,3.468672
-252.64468,30,3.475116
-253.655494,30,3.48124
-262.219908,30,3.490476
-263.711698,30,3.496634
-261.158816,30,3.502791
-266.016856,30,3.508908
-276.507355,30,3.514987
-255.87446,30,3.52171
-258.773602,30,3.553878
-276.466413,30,3.560371
-272.95757,30,3.566641
-261.458041,30,3.572798
-249.683649,30,3.579204
-260.417811,30,3.5854
-263.006703,30,3.591538
-253.619576,30,3.600778
-268.115054,30,3.607248
-267.426763,30,3.613469
-260.671504,30,3.645626
-256.034723,30,3.651862
-262.853541,30,3.658049
-256.599805,30,3.664219
-260.884842,30,3.670285
-253.046249,30,3.676552
-266.457601,30,3.682734
-258.08134,30,3.688843
-252.770068,30,3.695089
-263.758895,30,3.704562
-278.55032,30,3.736529
-262.345126,30,3.74275
-253.956885,30,3.749225
-252.950434,30,3.755347
-263.518799,30,3.761904
-269.6228,30,3.768522
-261.825341,30,3.774971
-255.795062,30,3.781095
-256.40882,30,3.787439
-264.083395,30,3.793467
-255.508088,30,3.828776
-270.035843,30,3.8352
-258.026374,30,3.841375
-268.709157,30,4.270403
-255.094104,30,4.276649
-267.454993,30,4.283079
-266.194491,30,4.289628
-265.825673,30,4.295929
