#{"t_start": 1676041379.940642, "env_id": "InvManagement-v1"}
r,l,t
-265.99352,30,0.026217
-258.235326,30,0.038135
-264.355567,30,0.049456
-269.071447,30,0.060499
-281.121144,30,0.454758
-246.623688,30,0.466547
-249.268857,30,0.478285
-264.07261,30,0.489775
-272.891212,30,0.88307
-265.160221,30,0.894174
-268.384476,30,0.955965
-270.846598,30,0.96699
-254.336036,30,1.405707
-248.337697,30,1.41679
-263.980618,30,1.427704
-258.250025,30,1.438596
-250.36711,30,1.449464
-256.642947,30,1.845838
-258.135765,30,1.85751
-249.514062,30,1.869267
-263.120255,30,1.926146
-275.210232,30,2.305045
-259.800392,30,2.316067
-264.416924,30,2.330425
-266.450276,30,2.342406
-256.416441,30,2.724401
-262.685793,30,2.735429
-263.068987,30,2.749485
-269.613136,30,2.760606
-271.490394,30,3.152027
-260.094504,30,3.207036
-259.80181,30,3.218304
-266.039299,30,3.229561
-266.809647,30,3.24113
-259.75853,30,3.673426
-270.053109,30,3.684669
-245.62551,30,3.699634
-264.771228,30,3.711314
-275.170529,30,4.125928
-265.024531,30,4.137324
-268.862876,30,4.19156
-272.08566,30,4.202776
-261.801813,30,4.595568
-270.927225,30,4.606674
-272.902207,30,4.617602
-261.548715,30,4.62852
-259.575177,30,5.028536
-255.593763,30,5.082724
-260.952109,30,5.096524
-253.005072,30,5.117071
-267.759017,30,5.193631
-268.737433,30,5.664975
-253.367414,30,5.675984
-270.775489,30,5.687034
-277.135422,30,5.697959
-253.88659,30,6.110899
-245.665368,30,6.121932
-252.674668,30,6.136046
-253.386196,30,6.147097
-245.506234,30,6.539361
-259.31938,30,6.594268
-251.680645,30,6.605317
-285.899037,30,6.616214
-252.645771,30,6.627049
-254.257396,30,7.036023
-268.337495,30,7.047003
-255.988772,30,7.057911
-255.693755,30,7.069136
-263.784559,30,7.45023
-244.36252,30,7.461651
-243.947278,30,7.51738
-254.352364,30,7.528235
-254.396001,30,7.949811
-247.543849,30,7.961854
-253.98637,30,7.973883
-263.63858,30,7.985607
-254.548938,30,8.38002
-255.628368,30,8.391394
-240.000093,30,8.402476
-248.395562,30,8.414013
-229.454438,30,8.470164
-251.0622,30,8.860963
-265.71001,30,8.871967
-238.699423,30,8.882855
-237.359384,30,8.893657
-247.718934,30,9.282641
-258.163272,30,9.293648
-239.9089,30,9.304496
-228.371693,30,9.31528
-223.049543,30,9.699614
-239.350865,30,9.757416
-245.669132,30,9.768257
-237.867967,30,9.779041
-247.449993,30,10.191342
-246.394995,30,10.20265
-218.816109,30,10.213776
-251.58813,30,10.228205
-237.348717,30,10.23957
-231.813953,30,10.616132
-235.617749,30,10.627138
-251.940175,30,10.681141
-230.123199,30,10.692069
-243.375231,30,11.07683
-241.055659,30,11.087947
-239.465593,30,11.09897
-237.219752,30,11.109906
-228.338492,30,11.495915
-240.418955,30,11.507779
-257.593448,30,11.518974
-236.673622,30,11.530744
-250.346231,30,11.957627
-245.948139,30,11.968807
-238.066598,30,11.980165
-247.520404,30,11.991168
-249.390686,30,12.00524
-234.369924,30,12.427271
-250.635579,30,12.438667
-234.537409,30,12.449854
-237.314373,30,12.46171
-258.647308,30,12.839636
-240.305574,30,12.896225
-242.549882,30,12.90743
-253.04542,30,12.91887
-244.030032,30,13.300554
-236.492709,30,13.311598
-235.895636,30,13.322462
-232.41728,30,13.333277
-251.638689,30,13.344059
-223.48427,30,13.729057
-234.478672,30,13.740017
-271.340167,30,13.790921
-242.271854,30,13.804973
-228.639229,30,14.19345
-228.860447,30,14.204493
-221.619037,30,14.21851
-250.186255,30,14.229498
-226.758071,30,14.609542
-230.797069,30,14.62057
-209.264292,30,14.63144
-229.552066,30,14.645197
-227.990879,30,15.101683
-217.403915,30,15.112752
-223.197419,30,15.123647
-232.395936,30,15.134548
-232.820677,30,15.145427
-217.561382,30,15.531261
-231.588918,30,15.542274
-207.197365,30,15.553182
-234.38997,30,15.564045
-235.364136,30,15.941834
-246.398448,30,16.003182
-246.841904,30,16.014246
-206.120557,30,16.025116
-220.381203,30,16.411452
-202.97134,30,16.427078
-239.67899,30,16.438774
-229.087039,30,16.449998
-204.299896,30,16.835155
-211.635077,30,16.849232
-200.133511,30,16.860278
-209.991686,30,16.911555
-214.829624,30,16.922465
-206.161707,30,17.336929
-221.654326,30,17.348007
-205.941827,30,17.358905
-202.772081,30,17.372845
-191.38908,30,17.762047
-210.130293,30,17.773127
-192.318409,30,17.787025
-187.472713,30,17.799146
-204.899246,30,18.217694
-192.958444,30,18.228781
-190.905712,30,18.239703
-190.875089,30,18.250582
-174.285962,30,18.628148
-191.477721,30,18.639335
-174.053566,30,18.650293
-178.02172,30,18.661182
-201.130618,30,18.672077
-184.034058,30,19.064106
-179.873898,30,19.124774
-175.101802,30,19.135952
-187.701175,30,19.147098
-185.459604,30,19.574689
-203.200018,30,19.586351
-159.872734,30,19.598132
-189.228437,30,19.609374
-169.557611,30,19.992523
-163.86481,30,20.004354
-170.331707,30,20.015928
-142.857785,30,20.075406
-157.21027,30,20.086855
-146.922356,30,20.471368
-173.065321,30,20.483115
-162.499615,30,20.494889
-152.244741,30,20.506775
-159.418142,30,20.899199
-172.220597,30,20.910211
-149.97173,30,20.921092
-169.481408,30,20.935287
-178.921787,30,21.367356
-176.82045,30,21.378381
-163.432103,30,21.389765
-152.303818,30,21.400754
-191.380298,30,21.786634
-158.380625,30,21.797754
-171.015446,30,21.808729
-175.060765,30,21.81961
-164.698272,30,21.830494
-186.108179,30,22.253622
-144.183157,30,22.30868
-160.040547,30,22.319619
-155.253116,30,22.330498
-151.429617,30,22.737034
-172.058521,30,22.748368
-177.438225,30,22.759451
-134.962239,30,22.771033
-165.527646,30,23.168279
-178.426587,30,23.179383
-154.89826,30,23.190382
-136.261732,30,23.244833
-119.064567,30,23.628178
-148.573473,30,23.640076
-145.294832,30,23.651263
-154.261965,30,23.665252
-148.894162,30,23.676881
-155.71535,30,24.059904
-127.057791,30,24.070888
-148.090879,30,24.085678
-145.008792,30,24.09818
-138.763649,30,24.541176
-170.787379,30,24.554119
-155.392933,30,24.56606
-141.716063,30,24.57886
-137.949841,30,24.970524
-103.834885,30,24.981961
-139.400827,30,24.993225
-119.059763,30,25.004907
-124.964344,30,25.393797
-128.133428,30,25.404957
-123.882501,30,25.466201
-129.4695,30,25.477256
-126.713872,30,25.488253
-106.241993,30,25.879905
-99.829026,30,25.891082
-141.863907,30,25.901992
-133.240067,30,25.912841
-78.847768,30,26.298715
-84.110907,30,26.309744
-81.397398,30,26.320644
-95.307526,30,26.381699
-109.72821,30,26.782145
-75.270832,30,26.793243
-105.964002,30,26.80418
-65.504128,30,26.817
-104.727286,30,26.828909
-111.002492,30,27.215899
-101.130438,30,27.228186
-99.98726,30,27.243307
-83.98737,30,27.255857
-82.023524,30,27.690131
-83.866913,30,27.701179
-109.653979,30,27.712104
-53.182157,30,27.722969
-83.683136,30,28.205389
-67.12251,30,28.217126
-87.565193,30,28.229052
-75.030903,30,28.241287
-77.7634,30,28.688693
-55.313557,30,28.699869
-64.260248,30,28.762783
-68.318948,30,28.774228
-67.957957,30,28.785713
-93.252151,30,29.196866
-79.554126,30,29.207859
-59.073556,30,29.218735
-57.775531,30,29.229868
-39.247414,30,29.612265
-47.248141,30,29.623317
-78.246296,30,29.634242
-75.742363,30,29.697325
-68.254318,30,30.074312
-35.132969,30,30.089304
-86.241198,30,30.101143
