#{"t_start": 1676158231.7699358, "env_id": "NetworkManagement-v1"}
r,l,t
-326.105,30,0.241157
-305.869,30,0.44528
-322.35,30,0.649808
-256.743,30,0.853037
-310.857,30,1.062972
-301.62,30,1.268021
-305.829,30,1.469639
-268.486,30,1.66926
-302.251,30,1.868026
-255.034,30,2.08393
-255.841,30,3.331541
-252.885,30,3.53705
-221.208,30,3.739916
-281.194,30,3.948344
-238.691,30,4.168279
-259.222,30,4.382494
-264.213,30,4.593168
-257.772,30,4.825061
-284.608,30,5.031088
-263.25,30,5.241491
-245.755,30,6.460217
-267.434,30,6.680101
-263.806,30,6.883143
-278.601,30,7.095887
-259.047,30,7.311807
-257.973,30,7.527576
-241.145,30,7.741854
-260.405,30,7.950688
-241.929,30,8.158576
-281.763,30,8.368387
-259.132,30,9.589604
-229.321,30,9.799355
-253.445,30,10.006404
-240.157,30,10.207058
-218.315,30,10.410887
-239.07,30,10.620625
-251.591,30,10.820974
-243.447,30,11.018977
-237.767,30,11.215265
-203.754,30,11.421641
-248.731,30,12.656111
-230.319,30,12.856641
-278.016,30,13.055989
-297.867,30,13.254419
-276.719,30,13.45917
-272.518,30,13.662491
-246.297,30,13.869273
-310.133,30,14.074921
-305.173,30,14.277529
-312.967,30,14.479343
-328.631,30,15.639326
-302.757,30,15.836634
-303.652,30,16.034279
-332.618,30,16.230283
-311.703,30,16.424075
-342.021,30,16.629006
-338.577,30,16.828825
-349.341,30,17.027986
-347.222,30,17.229592
-347.12,30,17.433108
-323.824,30,18.624549
-333.072,30,18.819329
-338.538,30,19.017098
-322.0,30,19.215612
-319.567,30,19.411979
-321.955,30,19.618772
-300.947,30,19.816817
-348.27,30,20.012266
-330.808,30,20.209671
-329.225,30,20.406394
-335.167,30,21.594693
-318.18,30,21.804519
-336.788,30,22.006068
-334.811,30,22.222533
-337.641,30,22.423143
-322.416,30,22.635575
-321.806,30,22.836356
-310.277,30,23.037234
-319.449,30,23.237762
-306.156,30,23.443597
-305.005,30,24.596792
-307.697,30,24.793597
-324.624,30,24.991006
-284.148,30,25.187463
-327.007,30,25.384291
-328.076,30,25.598933
-322.452,30,25.796499
-319.42,30,26.010328
-330.818,30,26.213676
-314.531,30,26.411137
-277.116,30,27.565968
-321.315,30,27.764582
-322.01,30,27.961708
-307.665,30,28.158485
-286.398,30,28.35516
-270.888,30,28.570259
-288.731,30,28.768303
-287.336,30,28.963618
-266.901,30,29.162047
-283.999,30,29.359953
-297.587,30,30.549719
-310.53,30,30.753281
-316.513,30,30.96419
-300.397,30,31.174855
-328.654,30,31.37211
-313.577,30,31.582814
-268.62,30,31.78493
-274.533,30,31.997377
-290.963,30,32.238784
-280.865,30,32.458827
-264.208,30,33.632964
-263.824,30,33.835826
-264.946,30,34.042175
-262.794,30,34.252191
-287.944,30,34.461016
-296.669,30,34.662289
-290.535,30,34.860346
-279.973,30,35.071437
-244.777,30,35.286331
-265.182,30,35.5151
-245.68,30,36.719616
-271.525,30,36.932799
-246.656,30,37.142844
-272.251,30,37.348081
-281.272,30,37.556425
-248.816,30,37.766884
-238.355,30,37.964105
-270.283,30,38.164616
-252.195,30,38.365814
-273.82,30,38.571931
-251.75,30,39.746259
-247.366,30,39.964839
-259.94,30,40.17144
-259.143,30,40.371683
-287.541,30,40.581166
-260.528,30,40.78135
-271.131,30,40.976894
-245.591,30,41.173438
-232.967,30,41.371644
-258.079,30,41.578155
-285.164,30,42.736294
-291.636,30,42.934041
-264.038,30,43.127578
-273.054,30,43.325083
-296.51,30,43.522815
-283.426,30,43.726652
-326.083,30,43.923768
-307.3,30,44.121387
-327.879,30,44.316322
-313.112,30,44.52191
-316.176,30,45.70533
-316.848,30,45.914926
-324.888,30,46.118539
-313.226,30,46.320096
-314.894,30,46.520655
-310.439,30,46.730865
-309.54,30,46.944671
-296.968,30,47.151926
-328.845,30,47.350334
-317.848,30,47.548534
-317.133,30,48.777193
-315.891,30,48.986707
-334.355,30,49.184168
-286.736,30,49.382145
-347.039,30,49.584577
-346.775,30,49.796078
-326.479,30,49.998993
-322.007,30,50.199543
-302.371,30,50.399405
-330.036,30,50.616776
-300.166,30,51.85422
-345.074,30,52.061118
-317.776,30,52.263481
-304.262,30,52.459936
-304.528,30,52.666337
-289.128,30,52.886821
-313.133,30,53.090444
-300.553,30,53.296096
-352.083,30,53.493629
-318.827,30,53.692784
-321.228,30,54.951391
-314.29,30,55.154961
-313.977,30,55.360666
-318.62,30,55.55957
-318.904,30,55.768877
-328.968,30,55.976092
-330.37,30,56.177457
-308.759,30,56.381596
-318.654,30,56.580351
-334.252,30,56.789128
-319.241,30,57.999426
-324.845,30,58.19907
-311.01,30,58.399412
-302.366,30,58.595441
-312.673,30,58.80581
-324.875,30,59.017003
-328.739,30,59.217036
-321.428,30,59.416175
-341.555,30,59.619726
-336.053,30,59.821716
-350.113,30,61.001072
-316.041,30,61.200117
-320.66,30,61.397699
-328.499,30,61.5975
-338.633,30,61.805377
-339.832,30,62.018152
-308.963,30,62.231325
-354.733,30,62.436628
-326.257,30,62.635279
-326.577,30,62.832821
-348.526,30,64.027794
-352.068,30,64.228961
-337.909,30,64.428438
-338.162,30,64.630185
-339.299,30,64.831876
-328.641,30,65.041057
-321.751,30,65.241704
-337.36,30,65.439399
-319.198,30,65.639347
-339.838,30,65.838891
-332.947,30,67.041846
-347.911,30,67.241566
-341.619,30,67.438096
-347.848,30,67.631705
-351.892,30,67.828256
-327.104,30,68.035085
-341.035,30,68.233579
-333.196,30,68.431435
-342.496,30,68.628349
-335.067,30,68.824711
-352.451,30,70.01448
-331.137,30,70.217166
-359.675,30,70.429323
-345.123,30,70.642587
-367.043,30,70.843267
-326.185,30,71.051615
-318.931,30,71.247154
-367.87,30,71.447532
-336.954,30,71.644401
-343.519,30,71.843407
-341.224,30,73.038495
-343.321,30,73.246132
-356.541,30,73.447986
-340.378,30,73.645737
-328.182,30,73.859713
-340.287,30,74.066111
-347.016,30,74.266105
-348.719,30,74.465409
-336.965,30,74.66493
-326.986,30,74.873745
-334.344,30,76.102394
-342.336,30,76.298717
-343.069,30,76.500843
-323.075,30,76.702266
-341.383,30,76.903496
-347.061,30,77.110321
-348.511,30,77.309534
-360.06,30,77.505737
-346.663,30,77.702482
-350.155,30,77.897321
-339.431,30,79.075464
-359.357,30,79.281742
-323.139,30,79.491407
-327.273,30,79.691668
-320.689,30,79.890252
-320.224,30,80.101764
-310.329,30,80.299778
-342.298,30,80.50181
-313.004,30,80.701629
-314.704,30,80.906909
-338.681,30,82.120216
-342.297,30,82.323724
-342.607,30,82.524649
-334.994,30,82.718189
-307.118,30,82.915419
-314.427,30,83.127623
-308.158,30,83.328954
-289.37,30,83.526145
-314.932,30,83.72531
-283.338,30,83.92994
-266.507,30,85.113714
-308.77,30,85.3099
-292.103,30,85.507799
-308.163,30,85.705458
-293.105,30,85.902253
-324.653,30,86.107011
-324.011,30,86.310322
-322.787,30,86.512818
-325.129,30,86.714418
-308.129,30,86.909212
-326.823,30,88.068704
-329.057,30,88.266288
-332.434,30,88.461949
-330.284,30,88.662178
-325.391,30,88.861689
